#{"t_start": 1772447281.73693, "env_id": "None"}
r,l,t
-343.3,250,2.838784
-341.837434,250,4.01422
-343.592998,250,5.142837
-105.999612,148,5.819215
-343.156975,250,6.920758
-342.969104,250,8.115917
10.339315,7,8.164292
-342.791816,250,9.279077
20.387645,9,9.333589
-340.37709,250,10.622014
-343.8,250,15.621569
-343.142533,250,16.827566
-343.8,250,18.042446
-49.73771,109,18.564802
6.48879,32,18.745933
-343.85,250,19.899779
-344.4,250,21.02033
-343.15,250,22.153363
-343.952882,250,23.746474
-344.05,250,25.140726
-344.65,250,27.822503
-0.28813,49,28.154546
-340.786201,250,29.33061
-343.123898,250,30.6666
-344.35,250,31.904402
5.473692,35,32.095914
-344.25,250,33.323852
-344.65,250,34.526692
9.003993,23,34.654702
-66.868859,121,35.228226
-345.6,250,36.348736
-344.9,250,40.078131
-345.25,250,40.760779
-345.05,250,42.153692
-344.317632,250,43.459524
0.388526,49,43.72148
-291.991032,235,44.763021
-345.3,250,45.995005
-345.7,250,47.178364
-5.426675,57,47.502591
-344.405341,250,48.750947
-9.753941,65,49.026495
-345.141615,250,51.866029
-344.841468,250,53.373641
-341.916911,250,54.495843
-35.622783,96,54.991272
-345.55,250,56.19864
13.222443,39,56.416266
-346.4,250,57.750236
-345.544064,250,59.210396
-345.065022,250,60.640818
-346.2,250,64.185184
-344.66852,250,65.477329
8.242546,26,65.69242
-345.789124,250,67.59724
-174.226793,185,68.777861
-209.919068,201,69.807539
5.10642,36,70.000611
-344.371359,250,71.357919
-3.629787,56,71.705529
-345.849694,250,72.929838
-54.062081,113,73.73
-346.3,250,75.380809
7.433663,28,75.609859
-346.65,250,77.388887
-128.494723,161,78.33961
-14.604767,71,78.693364
-342.665486,250,80.0529
-344.032509,250,81.631888
-1.711669,51,82.084788
-346.1,250,83.868873
9.246878,20,84.014801
-344.772357,250,85.501635
-345.096661,250,86.933386
-345.858045,250,88.540041
-346.45,250,93.823414
-344.296413,250,95.252134
-144.251192,170,96.203355
8.531038,22,96.350269
-345.482363,250,97.635191
-345.474428,250,99.541367
-346.283487,250,101.360517
-6.108396,60,101.723411
-345.842567,250,103.178666
-345.580783,250,104.051385
4.486984,36,104.289347
-346.4,250,109.202944
9.127486,22,109.328702
6.44977,32,109.503227
-344.936604,250,110.825838
10.217453,9,110.895765
-346.347871,250,112.149509
-10.488608,66,112.598525
-345.307307,250,114.310347
-346.4,250,116.458198
-346.595376,250,118.304462
-346.7,250,119.680407
-346.064101,250,125.848427
5.168524,34,126.099238
9.673631,15,126.230884
-345.654429,250,127.952793
-346.4,250,129.606731
-346.155659,250,131.447546
-346.3,250,133.343787
-236.260147,214,134.919547
-344.757896,250,135.893514
-344.40888,250,137.324295
-346.100773,250,138.795381
6.427898,31,143.647578
-342.054599,250,145.099711
-170.566288,182,146.606315
0.469046,46,146.982257
-346.75,250,148.81104
7.210412,29,149.063028
9.63148,17,149.207821
-344.189706,250,151.074063
-346.45,250,152.949509
-324.949424,247,154.539248
-151.83472,178,155.537257
9.448864,18,155.657552
10.214182,9,155.72843
9.67171,15,155.848263
8.306538,23,156.011707
4.52415,37,156.236131
-346.45,250,162.507073
-8.391695,62,162.904578
3.715996,40,163.188298
8.234192,24,163.359077
4.523413,36,163.639745
10.125201,12,163.764497
-346.045939,250,165.611198
-343.697674,250,167.184835
-345.095785,250,168.24998
-346.55,250,170.262385
2.570024,43,170.648093
-342.422063,250,172.440764
0.470897,47,172.757226
-67.606934,121,173.577627
-346.45,250,175.192671
-8.724905,62,175.651221
-345.974786,250,182.28517
-341.006471,250,183.830271
8.434023,21,183.990146
-340.707052,250,185.548763
-343.603819,250,187.209736
9.096059,21,187.398158
4.081636,39,187.763
-58.896786,116,188.649838
-344.996021,250,190.662377
-343.656966,250,192.511826
-11.094251,67,192.97856
10.25983,6,193.035065
-216.744456,208,194.294457
9.998664,15,194.410728
-95.155541,142,195.579455
9.317844,17,197.805371
-340.161809,250,199.04378
-344.297321,250,200.978589
7.920494,28,201.227464
-345.7,250,202.666996
-346.273445,250,204.131834
-42.931234,102,204.726457
-345.175749,250,206.549668
-221.958071,211,208.188028
-345.9,250,210.235756
-345.854088,250,212.438674
-346.55,250,214.183887
-341.394017,250,216.036642
-345.83171,250,218.264508
-343.482246,250,220.839144
6.18616,55,221.299198
5.932742,33,221.548367
-344.031023,250,223.203933
-212.718089,202,224.413128
2.724356,40,224.662968
-341.899429,250,226.442331
-346.6,250,233.165585
8.228558,24,233.335731
-315.622263,245,234.757808
-339.269175,250,236.42109
5.64977,33,236.725107
-64.041856,120,237.617512
-186.744545,195,239.549114
-53.697328,111,240.680595
-219.972715,206,242.245988
-266.149162,225,243.698892
-108.948562,149,244.627514
-342.593558,250,246.099758
-344.773074,250,253.642519
9.97842,12,253.726806
8.419299,22,253.896613
-156.157777,176,254.941917
-142.971215,169,256.065361
-110.673022,151,257.241466
5.837956,34,257.529971
-343.522188,250,259.726195
9.333017,21,259.918979
-154.705609,175,261.144618
-341.525757,250,261.972654
3.145982,41,262.243093
-53.982592,111,262.949147
-311.591107,242,264.354461
-341.099413,250,265.891215
-343.34991,250,273.235551
-181.524989,189,274.578195
-342.283728,250,276.862583
5.627703,34,277.233941
-54.031423,112,278.382447
20.024702,16,278.576521
-343.756029,250,280.233959
-51.767718,109,280.853773
-63.892327,119,281.604995
-8.268024,63,282.044085
-60.723727,116,282.796205
-42.930456,101,283.448967
8.517766,24,283.612094
-9.705159,65,284.0264
-13.75608,72,284.541882
8.564229,25,284.729163
-224.085641,212,286.119857
-146.307562,171,292.720844
4.796027,37,292.982303
-343.103102,250,293.894981
1.801242,46,294.27637
-21.680476,80,294.926042
-341.144765,250,296.887123
8.696648,20,297.065993
3.294405,41,297.405308
-27.388231,86,298.077356
-15.974334,72,298.491548
9.08508,49,298.801286
-18.178028,76,299.270023
-48.766203,115,300.006672
10.132988,9,300.084621
5.876207,32,300.30232
6.197804,33,300.523172
3.284907,43,300.79836
-82.552126,133,301.680097
-217.619043,205,302.891187
-342.819153,250,304.423203
-3.11003,53,304.828348
-162.050059,180,311.505423
10.32638,9,311.587122
16.935702,29,311.834278
-161.233008,179,313.311772
10.146922,6,313.386842
8.733523,21,313.58973
-207.471348,201,315.144792
-137.60793,166,316.450742
