#{"t_start": 1770377210.073293, "env_id": "None"}
r,l,t
-4929.05,300,3.403775
-100.368439,300,4.643926
-92.01,300,5.733057
-7058.73,300,6.800421
-89.483471,300,8.236261
-4508.635693,300,9.473336
-6845.783231,277,11.691985
-2456.885562,300,12.800938
-8646.909907,300,16.224252
-4031.989124,300,17.384993
1.261993,98,17.765385
-106.23,300,18.876921
-973.810183,203,19.713539
-3894.791032,300,20.921066
-1314.694673,74,21.221219
-7045.417362,278,22.671737
-5591.67,300,23.694136
8.671654,38,23.863756
-10117.85,300,24.946291
-131.54,300,26.027505
-10536.051314,300,27.110882
-11198.85,300,28.224384
-9105.235782,300,29.460381
-431.594742,46,29.647274
-5697.98494,300,30.78907
10.509945,8,30.83652
-144.379652,300,31.850221
-5019.617682,300,32.950928
-640.195752,25,33.070639
-5562.3,300,34.177596
-4998.940354,300,35.214264
9.319165,28,35.337568
15.207548,60,35.568474
-1701.571092,90,35.904688
-7779.173652,300,37.066205
-5423.388783,300,38.292537
-812.728452,45,38.467516
-551.005281,33,38.60814
10.438111,16,38.683598
-5641.436535,300,39.776115
-10704.520516,300,41.078348
-47.190382,202,42.013314
-4044.630261,300,43.313566
10.302075,11,43.393322
8.669051,34,43.530079
-2807.234492,157,44.062688
-3414.8925,122,44.518836
-401.597512,37,44.696065
10.224636,16,44.783507
-10167.195185,300,46.198485
-5498.81,300,47.264034
-40.275651,203,48.076685
-125.031209,300,51.644915
9.086517,31,51.787467
-123.930941,300,52.892968
-18.938446,149,53.476235
-419.198194,225,54.448603
-125.618773,300,55.68785
-1715.64,300,57.142646
-77.8,300,58.209287
-87.98,300,59.249128
-76.67,300,60.784738
-74.38,300,62.124125
-75.43,300,63.293475
-75.726936,300,64.46874
-5612.52,300,66.052628
-60.236379,300,67.350054
-60.54,300,68.821604
-54.068594,300,70.166462
-64.51,300,71.510654
-58.57,300,73.068967
-5645.16,300,74.495013
10.101245,9,74.558299
-60.85,300,76.126747
-52.39,300,77.571472
-50.03,300,78.906957
-51.492957,300,80.265504
-52.21,300,81.535386
-50.03,300,82.914421
-40.184097,300,86.718723
-65.72,300,90.189407
-62.85,300,91.534882
-64.549805,300,92.780447
-59.01,300,93.985869
-63.31,300,95.211128
-60.71,300,96.487227
-52.32,300,98.488502
-52.28,300,99.738065
-53.762957,300,101.19298
-55.19,300,102.5011
-52.03,300,103.705258
-51.46,300,104.920104
-51.66,300,106.146656
-50.887641,300,109.586618
-54.65,300,110.80707
-52.82,300,112.07671
-52.33,300,113.282184
-51.371972,300,114.509718
-51.72,300,115.783772
-57.809917,300,117.06081
-47.677063,300,121.578841
-55.28,300,122.969366
-57.26,300,124.310335
-55.1,300,125.542373
-57.51,300,126.80272
-57.07,300,128.132456
-53.06,300,129.333014
-5200.512909,300,131.83313
-52.14,300,133.023577
-56.55,300,134.29675
-51.91952,300,135.656417
-45.518848,300,136.901925
-53.465233,300,138.14258
-50.03,300,139.320037
-54.520459,300,140.686549
-50.09,300,141.976052
-55.72,300,143.199775
-55.76,300,144.486504
-56.64,300,145.772546
-60.2,300,147.007406
-49.93,300,148.22775
-54.95,300,149.808858
-49.98,300,151.077132
-52.510854,300,152.313229
-58.02,300,155.95393
-58.456288,300,157.373136
-51.022036,300,158.749017
-61.299939,300,161.206048
-52.79,300,162.533957
-61.15,300,163.652172
-53.0,300,164.815183
-52.81,300,166.034062
-51.066719,300,167.392687
-56.1,300,168.61619
-53.037425,300,171.265192
-52.78,300,172.4626
-56.02,300,173.686697
-54.619321,300,174.929786
-54.51,300,176.166743
-3580.25,300,177.369257
-53.71,300,178.625436
-50.57,300,180.664821
-49.563441,300,182.208512
-49.85,300,183.434701
-48.83,300,184.610662
-54.82,300,185.898833
-49.57,300,189.624581
-49.73,300,190.99224
10.275327,5,191.038945
-62.79,300,192.7614
-56.43,300,194.325356
-58.642827,300,195.672243
-61.29,300,196.8768
-61.28,300,198.105736
10.22737,18,198.199442
-57.887316,300,199.404183
2.587808,125,199.930799
-41.604349,286,201.998977
-5602.292609,300,203.906961
-66.863581,300,205.077557
20.500958,26,205.202811
-76.953243,300,206.327461
-70.46,300,207.45844
-64.67,300,208.612412
-69.97,300,209.79232
-7532.55059,300,211.63247
-4036.777489,247,212.581009
10.825596,28,212.705095
-4835.652824,300,213.875216
-3.250892,155,214.499439
-1991.056634,264,215.588209
-2349.850575,283,216.638319
10.403597,50,216.842413
-9691.218411,300,218.106324
-209.616113,18,218.205071
-4543.726831,224,219.0704
-4699.421591,300,220.448897
1.479435,142,221.009329
-342.273876,231,224.42848
-5426.963518,300,225.695839
-2254.57743,300,227.065514
-1711.180209,161,227.784906
2.262394,96,228.209285
-5155.257432,300,229.519277
-2611.821643,165,230.153932
-8671.850409,300,231.709078
-10487.568788,300,232.970325
-1555.413755,91,233.320411
-2024.029922,300,234.489913
-5742.689196,300,235.689532
-3887.021539,300,236.973558
-329.457392,50,237.204907
-6580.232105,300,238.436453
-8582.690822,300,240.164912
-2256.331952,108,240.608335
-5883.235876,300,242.071537
9.188318,56,242.297672
-5314.214367,300,243.501529
9.510897,52,243.749279
-369.497273,43,243.953879
-6628.949545,213,244.775105
-2924.149823,300,245.951793
-1565.461422,147,246.556798
-5457.102403,228,247.483584
-5879.383054,300,250.089969
-8081.83832,300,251.302122
10.905093,21,251.404188
-6162.01945,271,252.43711
-5527.027552,244,253.434016
-551.096546,67,253.704165
-5980.071562,229,254.660764
9.63674,41,254.856907
-3674.611709,144,255.480021
-6439.245441,300,259.15836
-76.814903,300,260.420018
-3333.50802,228,264.7995
-1250.338616,300,265.992672
-9076.429052,300,267.184464
-411.780353,56,267.426989
-12047.356534,260,268.46063
10.60203,13,268.52702
-3289.300836,220,269.43324
-9481.851326,270,270.710293
10.574135,11,270.784739
-3402.589036,247,271.800354
2.90618,119,272.267368
-214.019984,81,272.93539
10.347865,11,272.997709
-11727.240557,300,274.214963
-8745.020273,300,275.350248
-17479.945119,300,276.532011
-154.511512,99,276.923283
10.592824,44,277.108126
-1475.223563,95,277.473393
-2632.839324,77,277.803966
10.265795,37,277.955696
5.604174,90,278.305933
-4923.635439,261,279.495645
-7466.957202,300,280.603009
-5735.306833,300,281.897383
-401.58971,300,283.014746
10.723647,37,283.178755
-906.585494,179,283.851016
-3312.9,300,284.91985
-7961.497017,300,286.139853
-77.643525,283,287.269325
-5298.64,300,288.372508
-1404.80752,123,288.843686
10.650455,31,289.116601
-9070.487214,300,290.237333
-732.659276,66,290.490586
-1940.830484,109,290.916896
19.825734,46,291.120277
-3246.828749,129,294.123466
-4608.925071,225,295.118733
-449.972516,100,295.544171
-893.049598,66,295.877462
-5694.905187,284,297.144757
-318.27332,204,297.97948
10.640318,23,298.117317
-982.730638,74,298.552628
-5300.494981,300,299.77936
10.175155,14,299.861828
-536.790787,95,300.439869
-11434.866462,291,301.575215
-310.243443,42,301.755403
-811.893044,68,302.054854
-1767.90907,95,302.431547
10.436831,9,302.491221
-7684.845405,300,303.77883
-152.229641,61,304.09701
-1454.985043,92,304.503339
-698.111471,300,305.744265
-4026.531245,193,306.580391
-371.416139,54,306.874657
-1240.341047,95,307.334639
-69.51535,14,307.409233
10.924852,28,307.544654
-9741.720816,197,308.40774
-1718.876339,106,308.855598
10.262298,5,308.89878
-11896.198414,288,310.258102
-3553.725104,300,311.471694
-2639.862952,170,312.130607
-4489.913805,300,313.365275
-3648.627151,233,314.291647
-158.306947,92,314.651186
-3636.678244,95,315.066095
-11847.459732,300,316.560589
-336.215974,130,317.114087
-4365.8188,300,318.551287
-570.904188,59,318.811949
-176.020092,96,319.192479
-3772.431038,215,320.029513
11.443442,121,320.493832
-4672.625387,300,321.645642
1.187475,123,322.113591
3.431247,105,322.523433
10.527478,17,322.607571
-5040.010611,300,323.782633
-702.742148,232,324.719271
-11841.185038,300,328.853909
10.553273,18,328.98086
-3913.428078,122,330.965382
-4.484713,94,331.365286
-349.585222,17,331.452088
-1544.668106,95,331.882196
-591.109823,35,332.05596
9.112068,38,332.224827
-10.391129,120,332.762716
-281.371223,90,333.158795
10.329163,11,333.218581
-2366.963648,72,333.494715
-7488.016772,158,334.10643
-6671.302938,158,334.747093
-763.335668,94,335.174866
10.276529,5,335.214095
10.375846,15,335.291235
-7220.825686,300,336.425794
10.218413,19,336.518155
-3829.31531,117,336.972434
-10154.693786,300,338.139668
10.437649,20,338.239469
9.954881,27,338.358701
-671.797321,45,338.546331
17.65414,53,338.766122
-1278.357531,113,339.292275
-3870.448944,300,340.533497
-7473.07,300,341.689808
-12.520552,115,342.135157
-7351.764056,300,343.358143
-153.88,300,344.507065
-3466.883076,175,345.172754
0.55765,79,345.533105
-1952.102715,152,346.178579
-1112.936921,136,346.729908
-4232.08,300,347.98259
-154.25,300,349.210433
-154.84,300,350.374221
-154.27,300,351.541842
-153.961648,300,352.687598
-154.54,300,353.907988
-6074.188249,300,355.126806
-155.33,300,356.50512
-6075.48,300,357.64799
-6075.48,300,358.880006
-6075.48,300,360.065135
-155.43,300,363.636449
-155.48,300,364.807962
-155.48,300,366.068545
-155.150314,300,370.310389
-155.48,300,371.449213
10.177689,5,371.500152
-155.48,300,372.602253
-155.48,300,373.746913
-155.48,300,374.949237
-155.48,300,376.255188
-155.48,300,377.524226
-155.48,300,381.743197
-155.48,300,382.970204
-155.399616,300,384.145302
-155.43,300,385.412409
-155.48,300,386.620028
-155.43,300,387.841204
-155.48,300,392.168727
-155.48,300,393.478886
-155.48,300,394.944504
-6075.43,300,398.68836
-155.48,300,399.875566
-155.48,300,401.065333
-155.28,300,402.292054
-154.63,300,405.412108
-8239.831884,300,406.537174
10.173131,13,406.604993
20.235241,16,406.680606
10.170983,18,406.766761
-10020.651749,300,407.907014
8.149325,44,408.119386
-1681.605895,88,408.484569
-1504.192632,95,408.839141
-1284.161287,149,409.427068
-1582.767763,89,409.83297
-1901.504631,86,410.239402
-115.569933,63,410.534789
17.489971,48,410.796953
-1303.85263,97,411.255566
-1014.661827,122,411.824033
6.639706,53,412.064455
-675.240021,61,412.328722
-5326.738777,128,412.927648
-1584.219039,194,413.7181
-4567.767757,109,414.457414
10.325123,20,414.568444
-5996.674014,300,415.773632
-452.681937,52,416.00883
-629.900424,28,416.15288
10.253418,15,416.229103
7.90716,46,416.456356
-1863.215518,56,416.718456
-149.675179,17,416.816319
-1140.872371,89,417.211177
-9018.691007,300,418.461399
-1298.147886,78,418.801495
6.839863,53,419.030416
-13355.898332,300,420.210892
-12018.095118,300,421.494967
-3696.119896,134,422.047232
-2354.026859,133,422.572961
10.23612,23,422.683068
-10306.89075,300,424.185244
4.305868,76,424.513839
-731.847574,56,424.739663
6.27855,67,424.994802
-2250.186928,96,425.432665
-1848.065527,147,426.087806
-5331.426779,183,426.882797
-9547.596712,300,428.049052
11.096811,91,428.423444
-1290.67299,58,428.700097
10.385896,16,428.781093
4.684265,74,429.095366
9.14851,44,429.298215
10.333057,5,429.341802
10.208992,25,429.460469
-7376.529339,223,432.276568
-5065.989238,300,433.470852
-4576.632613,156,435.008392
10.296674,17,435.123701
10.472253,19,435.260935
-26.746021,185,436.270165
-670.596251,38,436.511684
-1396.537915,82,436.96053
8.19866,66,437.364085
-10142.310905,220,438.29583
-7087.348952,300,439.437461
-7697.112986,268,440.511298
-1212.997528,70,440.823721
-902.285374,73,441.153966
