#{"t_start": 1770757678.0359542, "env_id": "None"}
r,l,t
-4128.45,300,1.629702
-497.798439,300,2.779083
-498.45,300,3.929498
-5733.15,300,5.19291
-497.593471,300,6.371585
-3798.545693,300,7.579259
-6161.993635,297,10.196272
-67.721062,122,10.693944
-395.999769,80,11.058082
-3243.202042,300,12.275259
-628.214962,62,12.547386
-8837.44501,300,13.736429
-3263.472454,205,14.545624
-3196.947711,300,15.79671
-31.751228,91,16.222239
-138.976353,79,16.568968
-8431.753119,300,17.899969
-5253.205413,276,19.646038
-1783.528513,127,20.152791
-659.365728,73,20.530936
-494.578359,300,21.915549
-2079.365105,192,22.880878
-3009.933051,154,23.76184
-1414.152274,251,24.972826
-4590.336447,300,26.285038
10.485096,10,26.345279
-2444.178378,147,26.900049
-5864.784382,300,28.033995
-2874.319853,144,28.832438
7.012153,31,29.004244
-4887.853327,300,30.368405
-3909.406633,219,31.570005
-5.540929,59,31.846709
-4162.868397,206,30.988363
9.315567,21,31.097562
9.002956,22,31.203596
-100.147976,145,31.834275
-11338.969854,300,33.044037
-2385.434228,148,33.706741
-4559.417346,300,35.065392
-4245.023595,245,36.759508
-2120.481498,143,37.483532
-5516.022878,300,38.821325
-6447.863748,300,40.033388
-8246.905739,300,41.153926
-56.909881,123,41.625442
-4.012238,56,41.866109
-17.815627,76,42.168984
-24.727612,85,42.497118
-2337.240523,300,43.610911
-1451.753876,300,44.958211
-763.835888,118,45.820294
-212.458502,108,46.437827
-3173.812769,300,48.041023
-2798.283455,294,49.465194
-2395.750805,115,50.036294
10.058622,15,50.136977
10.220746,5,50.188372
-2288.027319,300,51.612863
-4642.879672,300,53.252697
-8152.863302,300,54.865399
-4207.53593,300,56.726588
10.356504,10,56.817186
-10686.883929,300,58.37521
-6445.143249,239,59.806957
-2.539835,55,60.185327
6.065735,35,60.411303
10.07225,17,60.541858
-516.786204,135,61.212257
-2016.510267,179,61.934431
4.189012,41,62.11718
-3876.936058,300,61.715566
-261.096312,226,62.983985
4.163822,41,63.19006
10.409257,10,63.255448
-4567.364864,300,64.628614
-1914.101684,133,65.521766
-4852.259418,300,66.731252
-2498.133534,187,67.491566
-4231.502835,292,68.763058
10.001811,16,68.867042
-18.558398,79,69.337984
-3181.114912,93,69.825221
-1131.652767,300,71.221366
-46.682397,108,71.748563
-3082.432116,300,73.483072
-22.777666,84,73.903821
-58.889553,118,74.356074
-3503.128691,300,75.851401
-238.825048,73,76.21874
8.973453,23,76.35382
-8002.72475,300,77.971697
-1001.164756,115,78.692702
-703.694059,47,78.932118
10.050834,15,79.016095
-1.492366,69,79.322811
-13.653434,72,79.608227
-312.630553,30,79.751592
-3069.855859,114,80.222606
-45.937009,107,80.665584
-5768.299597,300,82.143876
-1873.604635,125,82.663632
-1288.819138,203,83.627986
-4185.143894,204,84.577296
4.664409,60,84.844792
-6.862797,62,85.376015
-21.644103,81,85.673593
-11891.459938,300,86.830328
-502.971622,83,87.213821
9.894054,17,87.31179
-5951.560264,300,88.85862
-40.787698,101,89.432465
-79.084306,47,89.693805
-4241.134368,300,91.333274
-3.953767,56,91.726329
-1431.881499,82,92.245822
-17.293075,76,92.628464
-155.236647,18,92.73436
-8906.977943,300,92.12832
-3247.299908,134,92.920105
-0.209258,49,93.210857
-860.379028,80,94.214221
-2929.194436,231,95.290523
-369.862228,38,95.507204
-0.232342,51,95.751038
-5138.18599,300,96.987876
-789.989053,37,97.164808
-6308.616816,300,98.455403
-9068.423484,300,99.911659
9.551361,19,100.057527
-8.855576,65,100.464476
-323.5904,65,100.774067
-2376.129293,159,101.47575
10.325116,10,101.537839
-2079.339347,155,102.29155
0.104663,50,102.636142
-1515.445498,195,103.749535
-9.597424,67,104.109214
5.11188,39,104.726889
-40.023048,102,105.172192
-3471.753868,300,106.798832
-486.614837,300,108.5324
5.787739,36,108.774337
1.934256,46,109.021996
-4431.177408,300,110.428984
-3921.305273,300,111.68866
-3606.766232,300,113.065791
-271.632225,94,113.426442
-804.207218,202,114.231747
-4445.905714,300,115.965277
-2210.757963,300,117.163849
-485.981369,300,118.404929
-485.613858,300,119.657913
-162.712371,183,120.406138
-4790.704953,300,121.641061
-485.648762,300,123.024879
-485.670193,300,125.721532
-830.474133,300,127.189574
-485.157967,300,128.768351
-485.323777,300,130.201371
-485.426423,300,131.686594
-371.605436,267,132.979023
-5105.410826,300,134.478566
-493.451047,300,137.722412
-496.139684,300,139.275678
-495.794743,300,140.867978
-495.274425,300,142.499285
-494.961575,300,144.048911
-495.887377,300,145.580511
-493.809112,300,147.055767
-501.016149,300,148.5943
-501.85,300,149.994524
-500.966997,300,151.493078
-500.588496,300,152.953112
-501.699731,300,152.534879
-501.44527,300,154.070184
-499.830701,300,155.769957
-498.068065,300,157.198685
-502.3,300,158.686762
-502.2,300,160.231337
-502.3,300,161.734138
-502.2,300,163.501247
-502.3,300,164.957716
-502.3,300,167.736797
-494.504674,300,169.228367
-502.013821,300,170.614201
-502.3,300,172.054889
-502.3,300,173.535008
-502.3,300,174.947257
-502.3,300,176.426168
-502.3,300,181.512128
-502.199104,300,183.066093
-502.3,300,182.708174
-502.3,300,184.100528
-502.3,300,185.551099
-502.013821,300,187.038437
-502.3,300,188.43634
-502.3,300,193.605042
-502.3,300,195.149594
-502.3,300,196.609084
-502.013821,300,198.016445
-502.3,300,199.447663
-502.3,300,200.940881
-502.3,300,202.399642
-502.3,300,207.455596
-496.001464,300,208.876317
-502.3,300,210.314679
-502.3,300,211.809844
-502.3,300,213.256397
-502.3,300,212.61916
-502.3,300,214.104051
-502.3,300,219.127178
-502.3,300,220.617191
-502.3,300,222.110064
-502.3,300,223.564357
-502.3,300,225.0956
-502.3,300,226.656554
-493.691606,300,231.925904
-502.05,300,233.492072
-501.882228,300,235.015066
-501.88358,300,236.44777
-501.95,300,237.970298
-502.05,300,239.365917
-501.277286,300,240.963762
-502.05,300,244.070461
-502.0,300,245.495737
-502.05,300,246.936808
-499.838344,300,248.318479
-501.64977,300,249.756963
-502.15,300,251.252702
-500.497164,300,252.812207
-495.788782,300,254.820669
-501.65,300,256.242233
-501.5,300,257.758228
-501.6,300,259.127733
-501.75,300,260.541499
-501.231929,300,262.073543
-501.6,300,263.591622
-501.35,300,267.059508
-501.2,300,268.481713
-500.275009,300,270.010294
-500.749731,300,271.430849
-500.812096,300,272.940256
-500.2,300,274.390627
-500.45,300,273.832089
-501.25,300,278.933386
-500.55,300,280.357142
-500.65,300,281.931103
-496.042328,300,283.386935
-501.25,300,284.790491
-501.25,300,286.132526
-500.4,300,287.534406
-497.719834,300,289.250962
-498.95,300,290.729065
-2280.797031,300,292.220904
-496.788878,300,293.814915
-498.490551,300,295.276786
-498.310972,300,296.795513
-3525.135686,300,299.348572
-459.497938,292,300.765311
-2026.190752,300,302.250052
-397.849741,273,303.685907
-495.625742,300,303.32065
-496.559757,300,304.670219
-6451.666359,300,306.27499
-497.199739,300,308.143462
-494.962475,300,309.615813
-4.90127,58,309.94118
-50.136813,108,310.467029
-495.737085,300,311.91722
-497.655093,300,313.362425
-497.718231,300,314.866476
3.881534,38,315.076873
-172.114313,185,315.982943
-496.982004,300,317.424442
-495.594628,300,319.495157
-13.394922,71,319.865233
-491.933095,300,321.281673
-493.233387,300,322.692809
-272.758338,228,323.827048
-3838.283239,300,325.305323
-494.702954,300,326.861541
-494.311081,300,328.336928
-497.76637,300,330.254258
-3437.436196,300,331.758678
-497.70971,300,333.426279
-498.692841,300,334.86588
-497.876993,300,334.328439
-4310.0,300,335.771429
-279.166386,230,336.853972
-2449.391776,300,338.445792
-501.0,300,339.878759
-500.95,300,341.586729
-500.064449,300,343.171843
-726.25,300,344.596295
-497.873143,300,346.000703
-501.2,300,347.405617
-501.683548,300,349.079537
-501.95,300,350.505662
-501.95,300,352.098533
-502.0,300,353.857147
-501.75,300,355.369138
-501.7,300,356.838888
-501.9,300,359.118451
-502.05,300,360.566001
-502.0,300,362.005743
-501.7,300,363.479603
-502.0,300,365.289838
-501.7,300,364.678288
-502.25,300,366.070346
-501.75,300,368.099422
-502.149731,300,369.414416
-502.1,300,370.916482
-502.1,300,372.335013
-502.0,300,373.81881
-502.1,300,375.189487
-501.352309,300,376.550449
-502.2,300,380.251779
-502.3,300,381.832566
-502.049731,300,383.308846
-502.0,300,385.083066
-502.25,300,386.904326
-502.0,300,388.487588
-502.2,300,390.013886
-502.05,300,394.049172
-501.8,300,395.513699
-502.05,300,395.018412
-501.9,300,397.005439
-501.85,300,398.939584
-501.75,300,400.286294
-502.0,300,401.671327
-501.9,300,406.690331
-501.75,300,408.170016
-501.85,300,409.604405
-501.7,300,411.346534
-501.9,300,412.785313
-501.95,300,414.178254
-502.05,300,419.270606
-502.1,300,420.699005
-502.1,300,422.178839
-501.95,300,423.81482
-501.8,300,425.214571
-4687.1,300,424.686863
-501.6,300,426.142591
-4941.9,300,428.025813
-502.05,300,429.517536
-502.05,300,430.931435
-502.2,300,432.392522
-502.1,300,433.783362
