#{"t_start": 1768951851.7090786, "env_id": "None"}
r,l,t
34.490869,12,2.409539
272.328714,525,6.001167
272.347476,525,9.324513
272.384119,525,12.184031
273.533313,525,15.829625
272.31141,525,18.667251
272.217896,525,21.56465
-9407.608318,525,24.298629
2079.558499,525,27.256272
272.598897,525,30.182354
272.663222,525,33.461263
-154.775449,525,36.961557
272.510393,525,40.677914
-154.660426,525,43.492377
-154.954877,525,46.354008
-154.823524,525,49.176044
272.320285,525,52.264178
-1277.764053,186,53.253923
-322.895388,525,55.933132
-43.185367,525,58.820235
-2909.236794,255,60.152827
272.335724,525,63.313379
179.012909,525,66.868832
216.846801,525,70.124829
-10238.273438,376,72.480485
746.031931,525,75.435614
2264.767995,525,78.242252
1767.124043,525,81.096933
2243.577095,525,84.025382
-192.659498,525,87.112587
-154.660293,525,89.898642
218.920862,134,90.680523
-155.01096,525,93.519419
2206.776253,525,96.78171
888.811537,309,99.115201
-2468.451847,144,100.064337
-16645.333334,525,103.487617
235.641921,525,106.39906
218.296887,525,108.990748
243.601741,57,109.295982
164.993209,93,109.809908
-1408.732511,94,110.646796
235.548703,525,113.533589
-1476.147739,76,113.974584
-1529.940136,119,114.693675
1104.355736,525,117.5665
-1571.025494,183,118.602107
-1134.843872,60,118.905806
-950.339593,56,119.224673
481.304978,525,122.26602
-554.628608,327,124.011365
1862.624724,525,127.056919
-248.145657,525,130.381358
-270.179185,525,133.807907
118.211158,42,134.142073
272.217042,525,137.127364
-3579.282106,117,137.74695
-945.228051,65,138.141801
214.750236,525,140.887259
-794.849372,63,141.257106
403.131781,260,142.690181
-5004.007388,525,145.454435
593.148615,298,147.431205
-154.692623,525,150.25369
473.977357,321,151.966581
-1817.1719,222,153.209452
1325.354959,369,155.186447
-5087.136792,436,158.486496
272.200276,525,161.794185
-2328.818254,525,165.354861
308.90273,525,168.224242
53.579906,15,168.339017
18.190064,525,171.211108
-37.849703,159,172.094099
356.311352,525,174.914017
-2020.672091,126,175.660894
47.866017,106,176.249007
-1511.17617,110,176.846247
10.35763,525,179.692346
362.812777,157,180.534782
203.048632,53,180.820108
-440.009789,33,181.062497
587.870804,174,182.38572
-2330.90179,120,183.029097
254.130838,525,185.878047
189.280825,525,188.928343
-383.052068,54,189.323704
-6449.763595,422,192.095937
1629.476727,525,195.637397
49.989328,84,196.206703
-5178.42302,525,199.290126
-308.912036,525,202.05708
-2598.549457,296,203.627537
837.73359,525,206.607442
-9676.364405,525,209.317304
-207.475356,525,212.137807
-221.538199,525,214.898992
-154.920322,525,218.15025
-154.664871,525,221.360405
-154.923964,525,225.053517
-154.655261,525,228.588669
273.518251,481,231.709309
-6913.143889,525,234.45347
-1655.653328,415,236.588546
505.693582,162,237.477879
-1817.069444,108,238.075094
-2452.772766,207,239.128374
-3687.30113,130,239.782236
297.407046,88,240.288925
-1913.452074,263,241.958146
1657.251606,525,244.709842
-7207.786564,525,247.482608
1313.107381,525,250.442329
-164.105819,525,254.229811
-154.658911,525,257.710228
-155.023061,525,261.034156
-154.84978,525,263.904034
-1248.290435,473,268.335784
117.064599,26,268.482416
-1724.549148,117,269.062501
1022.865074,525,271.817587
478.547635,156,272.645437
370.677837,83,273.073808
-3427.14753,95,273.593132
-1425.634346,74,274.014555
