#{"t_start": 1772035280.029025, "env_id": "None"}
r,l,t
-502.220371,300,2.925426
-5437.3,300,4.047096
9.982983,13,4.117724
-8557.210525,300,3.03831
-502.15837,300,4.204154
-832.3,300,5.26835
9.511793,15,5.340554
-4552.274129,300,6.571144
-4312.093161,300,9.1768
-4880.846669,300,10.376649
-502.169635,300,11.488484
-122.897591,157,12.049102
-2981.37563,218,12.938863
-501.284514,300,14.159935
-568.585617,154,14.822206
-4822.3,300,16.089292
-1023.341,173,16.801701
-4071.20491,300,18.273044
7.986741,23,18.422068
-55.787427,111,18.943829
-4469.828017,163,19.604546
-473.810319,295,20.946933
-2329.64417,215,21.869102
-1803.689716,129,22.404609
-203.59774,197,23.480899
-41.652293,99,23.873014
-7161.962795,285,25.308749
-501.19457,300,27.118956
-3.671328,53,27.386019
-3039.099182,202,28.392952
-501.183371,300,29.718831
6.068274,30,29.861555
-2550.105174,136,30.511028
6.562792,29,30.700549
-0.105259,46,30.965796
-3170.731929,300,32.373192
-4181.806644,224,33.424341
-2060.9903,189,34.351841
3.16438,39,34.55084
-7940.587131,300,33.661666
-3367.154349,271,35.2238
-177.44434,185,35.954097
-19.838357,76,36.252342
-501.00376,300,37.560381
-19.821135,76,38.008961
-3342.116886,230,38.94407
7.550718,26,39.063536
3.464593,38,39.224943
9.080277,18,39.312781
-5766.529547,300,40.585742
-6410.261103,300,41.939506
-500.841107,300,43.375748
-17.367004,85,43.76639
-1418.541338,61,44.460229
-0.018141,46,44.691152
-205.4677,64,45.031323
-33.117849,91,45.522754
-1.922965,50,45.825794
-4400.94363,300,47.102547
-222.263624,124,47.741922
-3441.92163,180,48.470084
-220.728643,205,49.330279
-7519.670104,300,50.717164
-4835.738935,300,52.284288
8.66517,20,52.397362
-3965.134209,300,53.878586
-2015.598588,300,55.457664
-500.097886,300,56.576996
-23.596942,81,56.91307
-168.804308,181,57.638273
8.938314,19,57.741676
-4520.342926,300,58.93017
-2660.480157,300,60.173915
-3170.543427,300,61.434406
-2930.685369,300,62.925288
-1443.811459,221,64.266198
-2.449766,51,64.46414
-8870.224005,300,63.487791
-1505.073908,300,65.025788
-4295.315296,300,66.569799
-2737.012554,266,67.662384
-5015.135556,300,69.096384
-4926.410698,216,70.075882
-57.482146,113,71.030323
-1387.029395,95,71.405763
6.987877,52,71.607196
-6117.581873,296,72.615534
-2163.731815,221,73.525074
-6155.812044,300,74.800559
-1756.556331,147,75.412205
-4724.463914,163,76.039943
-3979.058547,253,77.115375
-1645.616719,169,77.940853
-10835.899585,300,79.208678
-736.616656,49,79.806745
-2701.067967,207,80.56668
-8.487819,61,80.834071
-308.432826,109,81.272099
-501.399004,300,82.584106
-3173.578508,151,83.392653
-3597.765414,141,84.171101
-21.315207,78,84.550026
-2337.663757,153,85.254099
-116.832594,66,85.573539
-63.249134,117,86.106098
-1415.677632,71,86.446836
-6.238053,57,86.72026
-1715.636189,115,87.226521
-2675.79114,300,88.555283
-1665.256181,126,89.480918
-2497.854835,175,90.109248
7.046263,28,90.231739
-7.234017,59,90.444096
-501.763389,300,91.675596
-501.240377,300,92.909638
-4641.069633,300,94.364777
-371.244431,37,94.542043
-4806.066467,300,93.67217
-4791.532772,300,94.98269
-9997.3,300,96.391051
-4387.3,300,97.574396
-63.712826,43,97.797783
-502.3,300,99.020326
-502.3,300,100.071096
-4521.868894,300,101.293564
-8347.3,300,102.48689
-4492.3,300,103.897916
-2651.809747,99,104.403415
-502.3,300,106.891002
10.23771,6,106.934345
-502.3,300,108.160439
-4717.3,300,109.33024
-8887.3,300,110.608763
-502.3,300,111.814906
-502.3,300,113.149205
-502.3,300,115.260901
-202.564174,27,115.412728
-4717.3,300,116.785537
10.191619,5,116.832422
-8827.3,300,117.972458
-502.3,300,119.172349
-3982.3,300,120.49896
-4522.3,300,121.993741
-4492.3,300,123.391506
-502.3,300,122.855002
-502.3,300,124.099885
-502.3,300,125.289859
-502.3,300,126.621187
-502.3,300,127.783458
-4687.3,300,129.15399
-502.3,300,130.559896
-502.3,300,132.199225
-501.413526,300,133.691123
-4701.741576,300,134.9133
-501.480833,300,136.079704
-4700.559083,300,137.645122
-4702.3,300,139.042131
-4702.3,300,140.424527
-8932.3,300,141.988149
-502.104088,300,143.120305
-502.3,300,144.386377
-502.3,300,145.897346
9.891207,11,145.971337
-502.3,300,147.461209
-502.3,300,148.968374
-502.3,300,150.32685
-502.3,300,152.197901
-502.111381,300,153.283052
8.855766,20,153.385898
9.025546,19,153.477134
-502.034381,300,152.464107
-862.3,300,153.90061
-5242.3,300,155.37287
-591.879193,300,156.714204
-4837.3,300,158.398838
-89.807069,136,158.881868
8.815711,19,158.973472
-3829.198656,145,159.576565
-2406.954368,300,160.723571
-9831.93966,300,161.793222
-63.795383,125,162.285311
-502.073642,300,163.470021
-6516.731762,300,164.727647
-209.598337,204,165.765085
-4777.3,300,167.621046
-502.3,300,168.792883
-502.167901,300,170.141067
18.142082,22,170.239627
-4216.62081,272,171.294333
-4717.027925,300,172.779432
-3784.734106,227,173.723979
-501.772184,300,174.996015
-501.666396,300,176.688949
-502.170642,300,178.185264
10.191619,5,178.245823
-502.3,300,179.68336
10.189607,5,179.730178
-4927.3,300,181.248779
-501.975678,300,182.717978
-4807.3,300,184.110858
10.238717,6,184.160043
5.515419,32,184.3224
-4762.3,300,183.359332
-9172.3,300,185.445802
-502.3,300,186.573668
-4702.211545,300,187.695342
9.250796,18,187.788888
-67.949565,27,187.947526
-502.3,300,189.321109
-4716.844091,300,190.563771
-501.729324,300,191.759089
-501.864591,300,193.671113
8.020224,23,193.793818
-7468.946105,263,194.735349
9.097698,18,194.823621
-501.465831,300,196.064046
-1114.544435,92,196.520776
-836.868338,99,197.070453
-4732.195122,300,198.670125
8.056658,23,198.77483
-102.52764,144,199.35176
-4657.172863,300,200.58405
-2601.739353,300,201.803875
-399.035965,31,201.953874
-7476.798976,300,203.338855
-1541.42337,123,203.812781
-1942.759881,141,204.356613
-299.545383,45,204.547896
-74.292506,32,204.686548
-1841.037537,158,205.40636
-1765.894784,83,205.736396
-4837.3,300,206.912783
-14.206819,69,207.194401
4.593152,35,207.341976
-10506.051278,300,208.50553
15.355725,33,208.652622
-501.953384,300,210.091349
-3217.047823,300,211.818216
-2935.882616,184,212.607961
-298.536061,236,213.520546
-2721.573429,300,212.517915
-4731.658242,300,213.744241
8.143744,22,213.853697
-2092.3,300,215.193959
8.386003,23,215.320223
-201.089081,19,215.449771
-2226.87802,300,217.004541
1.25083,43,217.274832
10.190788,5,217.328263
-667.491028,271,218.776729
-2052.49037,153,222.195069
-501.621709,300,223.323106
-501.993541,300,224.529655
-6636.715374,300,225.918347
-1753.310962,135,226.518418
-2212.415175,150,227.199376
-1757.807933,138,227.791523
-2410.763931,174,228.482094
-115.919858,158,229.070751
-1014.122798,142,229.749924
9.893352,12,229.818317
-85.569276,133,233.608736
-2464.046435,136,234.251041
9.746121,13,234.371358
19.642823,14,234.471939
-6755.829065,280,235.776219
-1807.391776,120,236.328577
-1628.760318,121,237.020831
-348.559917,105,237.626767
8.22049,22,237.756081
-12937.151914,300,239.348027
-3049.254519,249,240.669702
-4626.215491,300,242.129914
-2316.235077,300,243.620163
16.51597,29,243.826434
-2607.324464,230,243.05796
-28.940406,87,243.493499
-9696.093172,250,244.727809
-2841.920567,131,245.381351
9.744898,13,245.50279
-90.115153,46,245.831579
9.67125,14,245.955191
-284.054986,44,246.260488
