#{"t_start": 1772062701.0413275, "env_id": "None"}
r,l,t
-817.3,300,3.113485
-6666.529191,300,5.122526
-1971.828167,240,6.611249
-502.3,300,9.019161
-1414.748557,300,11.52158
-502.3,300,13.360979
-543.163954,53,13.705731
-502.3,300,16.979164
-502.3,300,19.073791
-2341.434087,172,20.473835
-502.294377,300,23.453479
-1376.297685,99,24.269753
-4047.668012,162,25.612969
5.952679,32,25.829663
-3619.806483,300,27.736831
-4657.925279,290,29.864592
-5991.981152,300,32.197809
-3903.404736,300,32.767271
-1954.559582,300,34.596452
-16.791132,74,35.137285
-498.52539,300,37.185201
-3036.431417,300,39.452883
-499.471306,300,42.162879
-2091.4432,300,44.410661
-4670.58187,300,47.084996
-496.387189,300,49.792375
-502.3,300,51.933798
-498.505787,300,54.024956
-500.903395,300,55.933985
-501.898589,300,57.98064
-497.303721,300,61.105449
-497.936247,300,62.748318
-499.877532,300,64.710883
-500.419269,300,66.885303
-498.141305,300,68.905225
-498.315481,300,71.015174
-496.443937,300,73.137108
-496.819507,300,75.225906
-499.971442,300,78.513005
-497.056379,300,81.225659
-500.267958,300,83.65002
-499.048009,300,86.19911
-498.57164,300,88.656878
-500.37765,300,90.648665
-502.299419,300,92.583744
-500.466557,300,93.202843
-496.417014,300,95.407883
-499.352843,300,97.760256
-496.165186,300,99.819297
-499.924246,300,102.266535
-498.191681,300,104.923947
-80.821544,132,105.803441
-496.161842,300,108.547244
-499.344732,300,110.39668
-499.398819,300,112.113147
-499.091565,300,114.090822
-497.745269,300,116.539582
-498.925029,300,118.725307
-198.852917,196,119.932023
-500.083303,300,122.277194
-496.607377,300,123.122928
-499.252459,300,125.227719
-1308.109988,300,126.98225
-498.657403,300,128.807584
-4832.456321,300,130.806418
-498.140996,300,133.392346
-499.139916,300,136.479913
-496.254985,300,138.301229
-498.207521,300,140.114515
-494.23318,300,141.90713
-499.842905,300,144.02239
-499.282612,300,146.328117
-496.846908,300,148.501726
-499.445606,300,151.192914
-497.024199,300,153.629724
-497.140817,300,153.890866
-496.468704,300,155.725359
-495.770237,300,157.489174
-498.638183,300,159.333046
-496.688278,300,161.164642
-498.540532,300,166.976816
-498.642871,300,169.566261
-500.637904,300,171.938916
-498.163549,300,173.976695
-497.026126,300,175.732442
-498.996163,300,177.688925
-499.215481,300,179.986521
-500.112386,300,185.922312
-499.075277,300,188.902908
-498.011037,300,191.758372
-498.144368,300,193.628726
-499.867712,300,195.553212
-499.022702,300,197.411502
-497.375994,300,203.134942
-496.061561,300,204.959679
-498.203213,300,206.74917
-500.948384,300,209.105384
-499.58995,300,211.861583
-499.015231,300,214.362919
-500.125393,300,214.703737
-500.096919,300,216.952784
-499.038509,300,219.374115
-497.729787,300,221.681852
-498.510512,300,223.752826
-499.821393,300,225.613008
-496.528166,300,227.991341
-499.099208,300,230.376134
-497.735386,300,234.284737
-500.354437,300,236.477109
-499.703195,300,238.670278
-499.425749,300,241.026809
-500.534897,300,243.046035
-499.011519,300,245.043422
-497.866941,300,245.456261
-752.855178,300,247.631968
-500.056875,300,249.441613
-499.362128,300,251.225395
-498.880421,300,253.502361
-500.542104,300,256.346722
