#{"t_start": 1772370797.5594134, "env_id": "None"}
r,l,t
-346.594236,250,3.600672
-1.244989,49,3.835278
-347.091236,250,4.863935
-95.982326,141,5.474115
-347.2,250,6.627327
-0.676776,49,6.847045
-347.074997,250,7.862487
-345.676831,250,8.830749
19.015631,21,8.931617
-342.929024,250,9.916538
-347.2,250,8.507255
-347.115396,250,13.131522
-55.099861,111,13.576071
-347.2,250,14.810751
-0.770108,48,15.032238
-72.091291,124,15.690591
-346.73804,250,16.897286
-347.2,250,18.24937
10.293675,8,18.316665
-347.2,250,19.405737
-71.259797,123,19.964757
-347.2,250,20.978626
-47.731315,106,21.460589
-132.378024,163,25.154178
-346.898245,250,26.106548
-156.270664,180,26.824378
7.211429,29,27.010513
-347.2,250,28.194165
10.316954,9,28.273961
-347.2,250,29.440005
-63.296951,118,29.941444
8.794498,19,30.040757
-345.684189,250,31.062284
-347.2,250,32.153762
-344.630261,250,33.261632
-347.2,250,37.393702
-347.2,250,38.632172
-347.2,250,39.802081
-347.2,250,38.486325
-347.193865,250,39.537106
-347.2,250,40.737353
-347.2,250,41.926708
-347.2,250,43.149835
2.996375,42,43.331848
-97.425459,141,44.616852
-344.147385,250,45.586154
-347.07475,250,46.510158
-347.2,250,47.614253
-267.209988,224,48.55531
-346.419472,250,49.695616
-347.2,250,50.946224
-347.2,250,52.202287
-347.199867,250,53.598686
7.604055,26,53.802265
-347.2,250,55.597361
-347.2,250,56.80447
-347.2,250,57.814991
-347.2,250,59.024293
-344.727237,250,60.330339
-347.2,250,61.455734
-347.2,250,62.555182
-346.460641,250,63.594445
-234.674231,211,64.664802
-347.199694,250,65.670943
-347.06868,250,66.625868
-77.361591,128,67.127638
-345.702523,250,68.210165
-346.096909,250,69.307966
-344.436671,250,68.221754
-346.192603,250,69.313498
-345.848365,250,70.281561
-346.391359,250,71.61795
-346.877361,250,72.58751
-345.436491,250,73.964083
-345.821606,250,75.086267
-346.606304,250,76.322912
-345.343404,250,77.441139
-345.686103,250,78.426013
-347.2,250,79.385355
-345.98244,250,80.759699
-345.885522,250,81.738831
-346.03281,250,82.792256
-346.00033,250,83.839301
-344.989955,250,85.161694
-345.384223,250,86.494977
-345.700975,250,87.671204
-213.797588,202,88.640243
-346.190253,250,90.24352
-346.271459,250,91.23135
-65.919057,119,91.738761
-345.852442,250,92.785139
-346.020552,250,93.857313
-346.365934,250,95.079886
-346.136375,250,96.3726
-346.373238,250,97.471192
-276.425486,228,98.376533
-345.442539,250,98.220134
-344.730437,250,99.227313
-345.646031,250,100.373998
-346.655591,250,101.450853
10.062416,11,101.520259
-345.646405,250,102.558608
-344.552462,250,103.681918
-346.588334,250,104.879644
-345.60317,250,106.159455
-13.164042,68,106.540499
-344.537582,250,110.119792
-344.949218,250,111.101945
-345.500951,250,112.063923
-345.392452,250,113.178134
-345.763631,250,114.306054
-345.267437,250,115.348261
9.612824,15,115.430185
-347.043367,250,116.714811
-346.230294,250,118.026172
-343.182126,250,119.929274
-344.098479,250,120.989774
-344.630303,250,122.224251
-343.5108,250,123.342148
-343.534936,250,124.781807
-345.031432,250,126.165201
-343.832711,250,127.721834
-343.817852,250,129.256064
-347.083185,250,129.884479
-340.901675,250,130.991039
-343.198587,250,132.010059
-343.833196,250,133.135839
-339.651377,250,134.033787
-347.138805,250,135.036541
8.575125,21,135.129075
-339.022549,250,136.357708
-342.111021,250,137.58313
-346.697621,250,141.853778
-340.24985,250,143.049421
-12.643604,68,143.445091
-88.250647,138,144.168504
-341.252473,250,145.434438
-343.742714,250,146.808547
-338.336023,250,148.200448
-339.611346,250,149.583265
-343.608071,250,151.097439
-340.478834,250,152.29564
-345.187206,250,154.90056
-336.576858,250,156.086876
-346.84998,250,157.034342
7.441942,27,157.156695
-2.70526,52,157.375634
-345.798803,250,158.3151
-345.265698,250,159.27349
-336.582752,250,158.132246
-344.373304,250,159.426474
-336.054575,250,163.34114
-340.262281,250,164.517613
-345.16429,250,165.634459
-338.620357,250,166.686033
-341.963021,250,167.760059
-336.622796,250,168.989433
-340.140584,250,170.051371
-9.395923,64,170.336608
-337.552741,250,171.412458
-342.496168,250,175.585723
-339.667386,250,176.813195
-342.249788,250,178.067918
-341.390167,250,179.336314
-340.749763,250,180.505316
-341.055252,250,181.615113
-336.382853,250,182.669132
-338.457345,250,183.966435
-346.949512,250,185.575159
-236.203122,213,189.203286
-340.650673,250,188.08656
-13.38744,68,188.380246
-339.408408,250,189.53055
-347.2,250,190.913798
-345.070643,250,192.123009
-113.503373,154,192.789325
-33.239694,95,193.210553
-46.971783,107,193.731145
-344.399875,250,195.096212
-72.337519,126,195.845936
-339.626701,250,199.837415
2.220284,45,200.061543
-339.868571,250,201.156794
-341.06546,250,202.433716
-110.3277,151,203.14712
-339.395782,250,204.337769
