#{"t_start": 1769206984.7601886, "env_id": "None"}
r,l,t
-5.227,55,2.572002
-349.708,250,4.069767
-350.832,250,4.426818
-349.823,250,6.232833
-350.563,250,7.887468
-219.218,203,9.135458
-349.897,250,10.471758
-11.145,64,10.832766
4.706,34,11.059672
-350.884,250,12.548885
-349.844,250,19.992731
-351.403,250,21.439943
-350.445,250,23.042272
-7.952,73,23.59958
-350.785,250,25.448171
9.293,15,25.584884
-351.213,250,27.206394
-129.471,159,28.055994
-350.398,250,29.417319
-245.729,218,30.699154
-351.318,250,32.171741
-1.893,49,32.945263
-45.526,110,33.741371
-351.597,250,34.21369
-23.724,80,34.79114
-21.038,77,35.332465
-351.777,250,36.727529
-350.974,250,38.10865
9.796,10,38.204165
-350.723,250,39.651802
-350.811,250,41.414491
-350.814,250,43.234311
-350.942,250,46.933769
-352.311,250,48.241953
1.498,42,48.49838
9.8,10,48.602341
-352.786,250,50.334175
-352.677,250,52.183506
-239.729,211,53.393881
-305.197,237,54.707909
-15.488,70,55.093027
-21.231,77,55.532365
9.085,17,55.652247
-351.923,250,57.146755
-351.182,250,58.933356
-352.467,250,61.242512
-180.948,185,62.477149
7.871,23,62.635598
-353.344,250,64.049131
-352.89,250,65.423644
-20.504,76,65.949293
-352.6,250,66.432268
-37.469,94,67.088674
10.0,7,67.165409
-293.89,236,68.621839
-352.626,250,70.079509
-7.17,58,70.408714
-52.16,107,71.003561
-67.408,119,71.674816
9.8,10,71.747247
-352.119,250,75.00362
6.537,28,75.227551
-70.098,121,76.14968
-133.827,161,77.312488
-353.209,250,78.890392
-144.766,167,79.903275
-353.323,250,81.268748
-352.995,250,83.059846
-352.613,250,84.744832
-352.705,250,86.19095
-21.285,77,86.616446
-351.917,250,88.759013
-12.066,78,89.214368
5.076,33,89.466948
6.847,27,89.640296
-351.928,250,91.016465
6.861,27,91.170085
-351.639,250,92.860947
-351.574,250,94.688374
-351.768,250,96.402875
-131.177,160,97.307421
-43.012,99,96.636403
-352.211,250,97.982328
-13.942,68,98.378241
19.394,14,98.481638
4.724,34,98.691396
-352.236,250,102.785491
-351.63,250,104.471746
-351.962,250,105.99553
-351.028,250,107.400725
-350.561,250,108.906496
-350.454,250,111.394452
8.267,21,111.625976
-351.453,250,113.465353
-351.127,250,114.797515
-351.995,250,117.208724
-351.501,250,118.563715
-351.654,250,119.961298
-352.143,250,121.394658
-20.5,76,121.785994
-124.473,156,122.657651
-102.664,143,123.462728
-351.886,250,125.035615
-60.471,114,125.721672
-352.163,250,127.179368
-38.346,95,127.986832
8.287,21,130.413916
-351.151,250,131.875787
-350.07,250,133.401534
-350.779,250,134.872868
-351.346,250,136.187038
-350.548,250,137.640271
6.842,27,137.843643
-350.583,250,139.675508
-350.413,250,141.595456
-350.48,250,143.172092
10.0,8,144.44728
-350.82,250,145.863899
-351.141,250,147.76557
-217.916,202,149.293726
-182.131,186,150.466197
5.347,32,150.655835
-5.862,56,150.982253
-351.683,250,152.527811
-22.684,79,153.031525
-93.39,137,153.823004
2.877,58,154.203964
6.841,27,154.38402
-41.729,98,155.093225
-352.112,250,156.996933
-350.878,250,161.516407
-351.482,250,162.886644
-96.24,139,163.749895
-59.409,113,164.659642
11.139,43,165.019101
-352.947,250,167.047112
-220.244,203,168.380018
-352.121,250,169.757204
-351.942,250,171.149357
-71.205,122,172.027594
13.094,38,172.343908
-352.093,250,174.112049
0.319,62,174.616711
-350.347,250,180.27501
0.7,44,180.577069
4.455,35,180.782956
-224.054,205,181.903964
-224.292,205,183.260971
-350.082,250,185.081575
-329.403,246,186.726835
-45.945,102,187.317338
-351.512,250,188.684312
9.593,12,188.776319
17.679,24,188.987078
-167.581,179,190.289553
-29.302,86,189.679524
-350.679,250,193.285311
-1.473,48,193.557203
-108.876,147,194.394515
-351.107,250,195.809357
9.594,12,195.915317
-150.281,170,196.855447
-351.774,250,198.302275
2.354,40,198.542979
-15.453,70,198.969783
-64.371,117,199.675239
-60.623,114,200.499318
-13.961,68,201.012347
-1.998,49,201.399472
13.906,36,201.68095
7.669,24,201.878418
-12.675,66,202.427385
-88.297,134,203.443656
-34.341,91,204.113029
-11.821,65,204.480634
9.593,12,204.564125
10.0,7,204.630941
-59.582,121,205.468885
-352.544,250,212.158705
-7.099,58,212.473731
-123.204,155,213.315535
7.685,24,213.500941
5.961,30,213.692178
-51.903,115,214.386024
-13.232,67,214.790996
-7.789,59,215.118618
1.453,42,215.356897
-45.088,101,215.908338
8.084,49,216.201424
-351.669,250,217.536571
-351.63,250,218.891406
2.737,39,219.117044
3.938,36,219.334479
-39.566,96,220.080016
-29.316,86,220.758415
-350.925,250,221.453341
-350.485,250,228.422588
-19.63,75,228.822938
10.0,7,228.89105
-18.709,74,229.333473
-352.031,250,230.809588
-23.907,80,231.29279
-351.721,250,232.717531
5.048,33,232.918179
-199.916,194,234.01746
9.394,14,234.122427
-351.779,250,235.44961
-47.177,103,236.004058
-5.876,56,236.355002
7.675,24,236.520165
8.885,18,236.655477
9.6,12,236.766791
-122.672,155,237.632688
-121.051,154,238.78052
-42.8,99,239.481545
-352.173,250,245.993207
-10.545,63,246.401501
9.7,11,246.512884
-21.171,77,246.95196
9.085,17,247.090922
0.033,45,247.38548
-99.708,141,248.246237
-200.339,194,249.497014
8.084,22,249.644477
-279.22,227,251.019344
-4.101,53,251.351763
-352.808,250,251.47013
-23.891,80,251.976045
8.271,21,252.121728
-1.395,48,252.423389
4.705,34,252.668028
-352.052,250,254.48804
10.0,7,254.582597
10.665,44,254.961683
15.63,31,255.208215
-38.507,95,255.949768
-7.122,58,256.407673
-289.927,231,263.008179
-9.753,62,263.40621
9.085,17,263.521724
-352.956,250,265.004337
-352.471,250,266.438573
10.0,6,266.503892
5.312,32,266.688625
-72.702,130,267.433624
-22.161,78,267.954327
-352.064,250,269.504618
-5.58,70,269.934271
4.411,35,270.170834
8.272,21,270.336091
-8.394,60,270.690506
8.282,21,270.847336
-283.241,232,272.69959
-24.066,80,273.401566
9.8,10,273.524921
7.444,25,273.795958
-353.327,250,276.024543
10.0,7,276.088826
-54.746,109,281.583042
10.0,9,281.660829
-11.934,65,282.049427
10.0,7,282.119079
-28.503,85,282.604613
3.9,36,282.845929
7.439,25,283.02916
-0.468,46,282.049656
