#{"t_start": 1770333048.5001998, "env_id": "None"}
r,l,t
-5313.08,300,6.126002
-592.128439,300,8.898714
-502.68,300,12.045848
-7352.58,300,15.280214
-485.123471,300,18.727266
-5068.075693,300,21.417736
-7182.931524,277,25.446207
-26.110039,86,26.151406
-8812.168871,300,28.475153
-5.84615,60,28.949195
-11.398403,53,29.323395
-668.767838,300,31.621966
-10278.08,300,34.428503
-1207.067209,300,37.282351
-7339.208275,234,39.398011
-12083.906049,300,41.889029
-3558.414756,174,43.737192
-4383.836791,300,46.124431
-7558.218055,300,48.532558
-465.716782,234,50.351608
-8071.88,300,53.68519
-3672.467948,300,56.629411
-33.406406,91,57.629571
-376.990258,248,60.248243
-5471.177871,300,63.498889
-693.771283,44,63.948832
-138.456008,39,64.366728
-3.720151,42,64.752344
-1676.904429,62,65.303851
-47.000295,82,66.057247
-237.751018,80,66.805992
-10086.087469,300,69.507908
-259.496735,121,70.629449
-1557.044225,80,71.434129
-132.998783,36,71.841085
-2833.309741,181,73.62669
-9597.366316,256,75.716881
-6954.927177,220,78.005022
-2893.300914,300,81.964027
-2612.70304,135,84.422189
-10812.551487,297,87.908343
-9460.145128,300,90.740775
-4596.250029,300,93.300516
-2.046558,38,93.703424
-56.085675,92,94.505578
-935.085789,141,95.697335
-4315.733152,250,98.004269
-47.99176,86,98.804281
-312.565743,66,99.407095
-1205.818862,95,100.300954
-65.086721,98,101.183482
-731.419261,95,102.046825
-4248.954478,300,105.146905
-3341.507976,300,108.317172
-558.603286,254,111.428505
-7718.26205,215,113.630129
-907.962786,119,114.949889
19.621024,9,115.082944
-356.746934,179,117.222421
-7029.01174,251,119.532428
-3589.468304,164,120.889954
-8107.324254,300,123.585209
-5983.738521,300,127.098442
-14989.481698,300,129.71091
-3.32868,42,130.121092
-828.211786,300,134.778043
4.361622,29,135.258359
-3679.838121,300,138.36614
-254.357583,166,139.802453
-7274.633068,300,142.279144
-8402.367094,300,144.776654
-2073.456922,253,147.69202
-34.414241,120,149.387287
-651.589285,129,150.489467
-5648.394868,300,153.057066
-1366.481806,162,154.490724
-2607.399447,300,157.152493
-1349.955388,300,160.353218
-3097.467511,259,163.035595
6.787986,24,163.326352
-4408.207366,247,165.512904
-1830.927102,300,168.456698
-80.33959,300,171.123179
-52.36692,300,173.690302
-45.872583,300,176.33214
-87.143412,300,179.491522
-4535.846508,300,183.329027
-44.554698,300,186.059077
-43.085962,300,190.534859
-41.516285,300,192.827404
-42.276907,300,195.138825
-42.57129,300,197.46829
-41.331174,300,199.612543
-39.767702,300,202.333802
-42.700943,300,207.389039
-39.383024,300,210.695181
-40.729972,300,213.197668
-39.195049,300,216.633047
-38.286375,300,219.164533
-38.904909,300,221.31575
-37.042171,300,223.452645
-47.464195,300,226.309826
-37.619308,300,229.566188
-38.142326,300,232.846833
-37.835841,300,235.973505
-38.208466,300,239.114593
-36.958881,300,241.73489
-38.002246,300,243.894113
-42.720901,300,251.46186
-37.529326,300,253.789256
-38.129157,300,256.460733
-37.19911,300,259.17635
-5866.715644,300,261.94536
-37.39304,300,264.164948
-2171.649522,300,266.401229
-57.825963,300,269.635115
-61.143257,300,271.828191
-39.6147,300,273.925658
-38.336925,300,277.270673
-39.494747,300,280.993191
-67.205435,300,283.309541
-37.922522,300,285.369857
-44.000696,300,288.01412
-36.894416,300,290.408679
-65.492665,300,292.514432
-54.353739,300,294.812501
-35.97375,300,297.584033
-37.377797,300,300.785958
-36.480387,300,303.554524
-40.825126,300,306.825631
-35.231683,300,309.474025
-34.878269,300,311.747559
-62.631848,300,314.697186
-54.133253,300,317.375298
-35.426923,300,320.312323
-34.979567,300,324.146541
-114.349929,300,327.082093
-173.588279,300,330.33732
-57.101894,300,333.498905
9.590463,103,334.293018
-103.592636,300,336.385516
-140.754229,300,338.615478
-2485.499123,300,340.935087
-2880.75245,271,344.326615
-76.817151,300,347.830659
-2000.240483,300,350.764663
-164.03579,300,353.716622
-144.421051,300,356.152596
-4330.533647,300,358.336497
-75.129325,300,360.567451
-47.658069,300,364.408669
-35.435976,300,366.94479
-35.353256,300,369.963398
-31.996536,300,373.294705
-34.936957,300,375.585589
-35.521504,300,377.818746
-38.700847,300,380.600039
-35.377446,300,383.214799
-35.06285,300,385.373283
-35.899781,300,387.748224
-36.161321,300,391.005768
-35.432691,300,394.442341
-53.876826,300,397.11935
-44.143241,300,400.355973
-55.440609,300,402.47566
-317.710138,300,404.740174
-35.213834,300,406.960098
-35.796324,300,409.990165
-59.899253,300,413.229937
-32.808018,300,416.093575
-52.433765,300,422.034771
-36.005397,300,424.42656
-33.3603,300,426.576139
-37.181199,300,429.023834
-36.809775,300,431.386772
-35.970381,300,434.188729
-35.244437,300,436.78718
-37.529872,300,440.08359
-39.117092,300,442.69467
-45.197808,300,445.521921
-64.14755,300,447.781332
-62.759298,300,449.932258
-37.756249,300,452.161132
-38.167843,300,454.428977
-1139.46614,300,462.228779
-113.46045,300,464.977128
-3895.431384,300,467.386594
-44.725449,300,469.790698
-55.847232,300,472.046177
-69.558171,300,474.184027
-37.841314,300,476.487543
-100.474322,300,486.859857
-799.837377,300,490.23314
-38.11334,300,493.040841
-71.357206,300,495.354594
-37.925473,300,497.530503
-37.890477,300,499.657065
-38.547604,300,501.835875
-86.735796,300,512.874517
-38.689356,300,515.619603
-27.594006,269,517.530691
-108.342907,300,519.706866
-38.529987,300,521.958197
-61.008871,300,524.194568
-43.043127,300,535.316977
-50.034506,300,538.336664
-66.88289,300,540.532809
-99.450769,300,543.156305
-48.951963,300,545.345602
-1310.355535,300,547.764309
-59.72091,300,550.244271
-77.683979,300,559.421729
-77.203677,300,563.065472
-5844.564292,300,565.449491
-1825.967915,300,567.647919
-40.248378,300,569.917681
-100.050551,300,572.243633
-36.883404,300,574.532559
-3008.520766,300,578.013397
-34.881233,300,581.344004
-36.060137,300,585.650327
-36.209381,300,588.941128
-35.420985,300,591.290801
-36.174596,300,593.636531
-35.279527,300,595.812806
-36.916952,300,600.194092
-60.21651,300,602.573353
-36.847966,300,605.953717
-53.776955,300,610.536465
-44.433536,300,613.297527
-56.594033,300,615.447568
-35.810172,300,617.53262
-79.031996,300,623.533595
-47.599061,300,625.9655
