#{"t_start": 1769287312.2638338, "env_id": "None"}
r,l,t
27.269243,24,2.282363
-166.391151,21,2.415381
29.273554,18,2.543857
29.282027,17,2.673636
29.273554,18,2.848388
4.398532,51,3.170522
-11729.259623,300,4.520802
29.268278,17,4.628919
-1114.101301,56,4.926581
14.119974,20,5.042393
-479.923935,29,5.179144
13.722075,19,5.281848
14.238746,19,5.377816
14.119974,20,5.474793
-1035.03,300,6.69024
15.041344,5,6.737689
29.282027,17,6.827205
-3301.602772,88,7.236277
-525.397187,49,7.476405
-541.755217,44,7.72866
29.261718,17,7.827434
-761.107229,39,8.007487
-693.163795,35,8.16276
13.125114,28,8.306669
29.321583,13,8.380788
28.046049,24,8.512424
15.087689,5,8.560056
27.271275,22,8.675793
-7071.109573,176,9.454215
12.784731,27,9.595492
29.327298,15,9.680504
-92.372226,28,9.820805
-438.618552,38,10.003405
-725.552609,65,10.302148
15.041344,5,10.346249
-8626.421766,191,11.164994
-441.433258,36,11.342661
-629.683449,44,11.565685
-1298.794149,80,11.938332
-538.814748,43,13.142185
-759.054736,38,13.306215
14.119974,20,15.299412
-500.667773,54,15.532688
29.294219,17,15.619236
15.087689,5,15.662027
-6029.001715,300,17.010561
15.087689,5,17.06208
-2071.385545,80,17.454126
-698.004728,126,18.022882
-740.756188,44,18.24445
-1365.406162,45,18.462978
28.1512,24,18.583618
15.087689,5,18.630054
14.180426,17,18.72621
29.328806,18,18.823097
14.432259,11,18.903965
-15607.93,300,20.297285
-3413.088273,117,20.903949
-1120.757443,46,21.093464
-86.370054,21,21.190999
14.432259,11,21.261508
15.087689,5,21.302801
-795.547679,39,21.482662
29.321583,13,21.559671
-86.300596,21,21.671949
14.125944,20,21.777931
15.041344,5,21.818398
-878.276174,59,22.083318
29.291723,17,22.176056
-379.003182,36,22.346785
-92.512178,29,22.499465
13.3893,24,22.626031
12.352001,26,22.752067
-676.18479,38,22.91526
29.327298,15,22.993836
-90.752749,18,23.086717
-1301.2393,39,23.256495
13.72302,18,23.347308
-5867.575182,157,23.982559
-1011.103889,300,25.764596
-1917.891142,78,26.101891
-1196.224748,58,26.383944
14.432259,11,26.450404
29.273554,18,26.563233
29.228062,18,26.654798
-1924.118855,75,26.998557
29.321583,13,27.075952
-525.130917,49,27.322543
-642.069726,48,27.550671
-67.260747,29,27.694337
15.087689,5,27.745187
-865.708133,45,27.973033
29.327298,15,28.07872
14.432259,11,28.152896
-1298.404904,58,28.403207
29.276425,17,28.489565
-1061.813255,300,29.786688
15.087689,5,29.830515
-758.171301,42,30.011433
-11395.93,300,31.228606
14.331748,18,31.329707
-710.005397,49,31.533623
29.282027,17,31.616261
-947.587893,47,31.83478
14.398518,17,31.91779
-2593.299669,147,32.577767
29.321681,11,32.64259
29.336023,18,32.724919
-12099.556219,300,34.002937
-1832.055965,76,34.302474
-105.601482,17,35.263093
29.268278,17,35.343304
-1765.467516,106,35.807488
-953.132748,74,36.136247
14.180426,17,36.23814
-564.016118,45,36.450724
29.273554,18,36.544884
29.327298,15,36.642953
14.235389,19,36.737811
-2779.006594,87,37.155576
-472.829829,36,37.359488
