#{"t_start": 1768431603.2726853, "env_id": "None"}
r,l,t
-11.012096,138,3.769563
-347.162199,250,4.882379
-347.2,250,5.873741
-347.2,250,6.992212
3178.248291,250,8.300329
-345.148011,250,9.572124
-346.097286,250,10.784396
-346.791897,250,12.02429
1362.238231,123,12.641248
459.730239,152,18.03385
412.631457,145,18.676073
-86.578399,172,19.466484
652.161207,87,19.918021
1530.001456,250,21.017606
-341.911349,250,22.21528
2908.098273,250,23.315032
-13.506996,250,24.391663
193.905524,22,24.502546
1401.896104,114,24.990119
1174.228718,103,25.466557
2414.663652,250,26.86568
64.880336,103,28.939974
-344.656988,250,30.43688
2593.888912,250,31.57814
3313.708918,250,32.661474
-170.358515,235,33.708158
-345.456934,250,34.730079
-347.2,250,35.835654
2010.24385,250,37.009008
2894.090547,250,38.084418
3043.331473,250,39.421211
3268.087542,250,40.630948
2324.226539,250,42.00744
2935.758415,229,43.177354
1804.54909,155,43.827351
2114.516574,250,44.958458
3328.718271,250,45.971596
-346.814303,250,47.020454
1249.71,103,47.559702
205.47597,160,48.561578
669.165513,205,49.494204
358.397744,150,50.141263
1123.323417,190,51.005222
2969.542401,250,52.105227
308.086572,67,52.41321
627.178882,80,52.85335
150.852487,250,54.314824
824.046871,250,55.37124
3269.833277,250,56.432461
317.466866,74,56.809688
3194.095815,250,58.097494
3268.120563,250,59.213737
2577.862491,250,60.356532
-347.2,250,62.401433
3238.141675,250,63.49542
2923.665656,250,64.551377
-346.952772,250,66.146047
3118.274043,250,67.655993
2818.827179,250,68.871964
2849.072657,250,69.928316
-347.2,250,70.969283
-347.2,250,72.005854
1629.886684,123,72.579962
3058.374931,250,73.787428
3044.582827,250,74.897913
2789.387656,250,75.948843
-347.2,250,77.170165
2263.947139,250,78.800171
2593.262026,250,80.106553
782.196838,250,81.223566
708.275296,149,81.868343
2583.426221,250,82.886963
882.380956,134,83.480954
1370.914547,250,84.500879
1095.477294,250,85.620716
-342.529489,250,86.624844
3013.566131,250,87.901118
-344.137868,250,89.065985
2759.068139,250,90.501458
-347.2,250,91.908434
-339.786259,250,93.111229
1996.114906,250,95.111062
3089.095697,250,96.193251
645.006387,250,97.290388
-337.961358,250,98.565523
-343.83056,250,99.618456
-343.523674,250,100.708131
-345.65892,250,101.810084
-339.415008,250,102.871684
-343.582431,250,104.294956
-343.044799,250,105.890849
-344.584551,250,107.111015
2522.669983,250,108.192724
2938.909609,250,110.20796
2743.980545,250,111.288958
-339.74323,250,112.366708
1741.282116,250,113.469746
-347.2,250,114.548193
-337.962465,250,115.607821
-345.444709,250,117.124596
-341.560313,250,118.608334
-347.2,250,120.966509
-347.2,250,122.048684
-347.2,250,123.138544
827.057839,250,124.292233
-347.2,250,125.475148
-347.2,250,126.564448
-347.2,250,128.533319
-342.496801,250,129.924264
-341.324322,250,132.891779
-347.2,250,134.024059
-339.406856,250,135.105281
-344.731113,250,136.226499
-347.2,250,137.314572
-340.923773,250,138.380192
-338.894283,250,139.375132
-347.2,250,140.522052
-347.2,250,141.915217
-347.2,250,143.279388
-346.182847,250,144.726759
-340.792123,250,145.972905
-347.2,250,147.038465
-347.2,250,148.114144
-347.2,250,149.186629
-347.2,250,150.29609
-345.215246,250,151.667161
-346.759788,250,152.803224
-346.384294,250,153.939861
-347.193959,250,155.197461
2774.314877,250,156.546678
-347.2,250,157.948075
-347.2,250,158.979459
-347.2,250,160.944892
-347.2,250,162.038076
-346.747326,250,163.413181
-346.927093,250,164.508049
-344.913763,250,165.605251
-347.2,250,166.638743
-347.134476,250,167.658108
-347.2,250,169.028403
-345.675658,250,170.487052
2054.108742,250,171.692318
-345.585033,250,173.247724
-345.369505,250,174.376026
-347.2,250,175.381478
-347.028665,250,176.441129
-347.040642,250,177.520023
992.594401,250,178.644683
-346.958565,250,179.739232
2637.953224,250,181.067533
2429.804307,250,183.118981
-347.2,250,184.316672
-347.2,250,185.536493
-342.228712,250,186.743523
-345.546331,250,187.840866
-347.181745,250,188.992275
-347.2,250,190.118002
-338.608742,250,191.373222
2505.130925,250,194.165849
-347.2,250,195.574479
2818.893745,250,197.009967
2144.123303,250,198.166475
-346.881919,250,199.328284
-347.2,250,200.362597
-344.887099,250,201.446622
2534.954607,250,202.480476
-347.079046,250,203.888106
-339.518477,250,204.962788
-347.2,250,206.026306
-347.170282,250,207.295093
-347.2,250,208.722307
-345.827044,250,210.066917
-337.193885,250,211.167451
3298.011338,250,212.261645
-345.537805,250,213.760536
-347.165334,250,214.847875
2293.046701,250,215.884672
-338.021019,250,216.99938
-347.2,250,218.030209
2250.763285,250,219.080866
238.484228,24,219.204145
-338.306756,250,220.70949
3148.140577,250,222.196438
-338.92593,250,223.379
-345.526104,250,225.217403
3283.050909,250,227.135116
-347.2,250,228.267641
2923.845079,250,229.39419
-347.111629,250,230.485025
2427.939888,250,231.534081
-347.2,250,232.616984
3214.163682,250,233.935424
586.792717,250,235.667382
1771.397739,250,236.97226
1693.442686,250,238.035812
1963.58743,250,239.178887
3223.184312,250,240.255368
1768.035886,250,241.271597
302.934938,53,241.498627
-341.280831,250,242.630641
3013.405838,250,243.648827
-347.2,250,244.896872
-345.474946,250,246.204895
-339.840964,250,247.740234
3033.855657,250,249.033333
1801.661385,250,250.136073
3088.415829,250,251.200179
-340.47892,250,252.271734
3102.961356,250,253.417589
-347.085261,250,255.312688
-347.2,250,256.449495
-342.170343,250,257.59344
-341.688863,250,259.046826
-345.426945,250,261.385986
-345.617295,250,262.543993
-347.2,250,263.624462
-343.731693,250,264.667031
3243.853014,250,266.113923
-338.61442,250,267.19318
-346.681297,250,268.340373
-347.2,250,269.409205
-342.420119,250,270.412916
-340.905202,250,271.639928
-342.480295,250,273.227945
-341.032782,250,274.678705
-342.104205,250,275.988116
-341.492047,250,277.096689
-340.817696,250,278.246248
-344.035377,250,279.356012
1681.168433,250,280.468808
-341.204282,250,281.516526
-347.191382,250,282.602443
-341.014455,250,283.653388
3193.734719,250,285.081016
1425.361383,250,286.911639
-337.870975,250,288.091278
-341.53244,250,289.188124
2356.000444,250,290.326575
948.655546,250,291.365656
223.421097,250,293.408516
-345.919938,250,294.539973
-343.915381,250,295.663946
2548.088673,250,297.33962
-342.657976,250,298.589267
-346.538868,250,299.903884
-342.555542,250,301.262432
1619.868939,250,302.373618
1814.399695,250,303.548577
-340.404398,250,304.710334
-338.587913,250,305.830863
-346.597474,250,307.719104
3058.83347,250,309.020318
-343.018804,250,310.130593
-347.2,250,311.281041
-344.128049,250,312.703305
-338.607583,250,314.11543
-347.2,250,315.366889
602.95645,250,316.633405
-347.2,250,319.082027
2908.839949,250,320.176544
2578.865705,250,321.28272
-337.847468,250,322.39077
1336.676913,250,323.477638
1531.134208,250,324.567428
-347.2,250,326.906237
2488.265768,250,328.352445
2600.202151,250,329.694591
-340.151258,250,330.813861
-347.2,250,331.89402
-338.187688,250,333.073211
-340.108542,250,334.178761
-347.156191,250,335.182542
-341.171823,250,336.231659
-340.931101,250,337.248036
-347.2,250,339.652407
-347.2,250,340.966149
-339.761964,250,341.983176
-346.536496,250,343.036424
-347.2,250,344.133048
-344.067394,250,345.205294
-347.2,250,346.209835
-347.092499,250,347.287071
-338.186455,250,348.411715
1351.157533,250,353.241653
-347.2,250,354.560436
-345.581597,250,355.778452
-346.344585,250,357.021262
-345.423057,250,358.172169
-347.2,250,360.172358
-347.2,250,361.316694
-344.048043,250,362.466718
-341.017741,250,365.024919
1512.893385,250,366.533449
-347.2,250,367.948387
-347.2,250,369.091379
-340.010663,250,370.231968
-344.689746,250,371.319041
2609.231142,250,372.429461
-345.848139,250,373.549243
-337.263752,250,376.20129
-340.419652,250,377.308516
2744.070308,250,378.71038
-347.199091,250,380.246764
3118.407331,250,381.366297
2280.52194,250,382.455776
2247.949711,250,383.536689
-340.217371,250,384.647989
2564.222756,250,386.072429
-347.199828,250,387.202277
-345.728838,250,388.372411
-340.457033,250,389.545272
-345.916817,250,390.946826
-339.467976,250,393.187626
-347.2,250,394.371648
-347.2,250,395.430106
-340.277769,250,397.059359
3118.353768,250,398.156994
1546.832995,250,399.215588
1173.144006,250,400.328193
1767.855617,250,401.477547
-347.2,250,402.531592
-340.032795,250,403.851525
3088.427618,250,405.14778
1423.347818,250,406.217313
1468.952471,250,407.869853
-337.510489,250,408.907813
-346.664318,250,410.033492
-344.874329,250,411.145091
-344.451096,250,412.236847
-340.169338,250,413.274476
-347.2,250,414.46226
-342.091804,250,416.024887
2340.295052,250,418.366343
-347.2,250,419.513794
-339.261177,250,420.622332
-337.423352,250,421.714958
-344.534968,250,422.792987
-347.2,250,423.883195
-347.2,250,425.837578
2504.319758,250,426.919137
-339.432467,250,431.881605
-346.187783,250,433.077031
-342.97249,250,434.196103
-346.30022,250,435.302466
-345.330679,250,436.392971
-347.2,250,437.580554
-347.184573,250,438.689859
-338.798234,250,439.90923
-338.41769,250,441.923067
-337.659445,250,443.065501
-347.134928,250,444.195418
-347.179877,250,445.343933
1515.380414,250,446.468124
-340.359123,250,447.569544
-347.2,250,448.674396
-340.562561,250,449.749176
-343.556698,250,455.237343
-347.154187,250,456.308525
2504.368423,250,458.210438
797.490449,250,459.324124
-341.261958,250,460.440764
-347.2,250,461.52831
1712.017321,250,462.609968
-347.2,250,463.719018
2235.146752,250,464.791772
1603.474365,250,467.970309
734.398769,250,469.070739
3283.035562,250,470.252941
-340.012852,250,471.358833
2428.275744,250,472.474276
-343.684284,250,473.550092
-347.2,250,474.625046
-347.2,250,475.59164
-346.34239,250,480.469195
800.322544,250,481.524796
-347.2,250,482.654666
2864.121654,250,483.734054
2283.449442,250,484.773993
-347.2,250,485.906581
2533.121639,250,486.910693
-347.2,250,487.987087
2256.043326,250,489.778991
1442.692179,250,492.017547
1367.204372,250,493.269514
-346.948498,250,494.438158
-347.2,250,495.504519
-338.952055,250,496.628936
-347.2,250,497.707777
-344.6953,250,498.78067
3020.729463,250,503.413744
-347.2,250,504.895902
-347.2,250,506.252444
-339.182578,250,507.408403
-339.520086,250,508.497522
1411.745604,250,509.678212
-347.2,250,510.766634
-339.439783,250,511.796664
2534.501331,250,516.211877
3268.242182,250,517.72202
2263.630705,250,519.029722
150.828044,108,519.50807
1183.910276,250,520.688425
3103.388332,250,521.849849
2384.156765,250,522.981708
2714.156693,250,524.901875
2668.792287,250,525.977969
-343.850409,250,527.924744
-347.19625,250,529.137622
2008.441161,250,530.677478
1368.427702,250,531.862874
2314.144592,250,532.986271
1903.221635,250,534.138447
-337.866477,250,535.191099
1859.719802,250,536.286566
2983.544912,250,539.229384
-347.2,250,540.278993
-346.123862,250,541.602374
-337.557856,250,543.01733
3118.343613,250,544.345879
-338.321916,250,545.482127
2417.433822,250,546.579154
1725.906233,250,547.664588
2713.969087,250,548.734031
1458.949874,197,550.655606
-347.2,250,551.770308
