#{"t_start": 1769725832.2707238, "env_id": "None"}
r,l,t
-2456.93,300,3.571628
-8736.512017,300,5.424289
-506.509664,300,6.836374
-4956.73,300,8.230197
-9.620586,61,8.585612
-448.324387,300,9.910873
-4785.283518,300,11.260523
6.823114,39,11.454664
-4951.93,300,14.023283
-464.434358,81,14.431395
-11093.221159,300,15.859663
-1250.197218,300,17.163425
-2320.936819,251,18.583231
-70.557978,117,19.29615
-9.885647,84,19.857421
-5778.251941,300,21.459259
-8244.745298,300,22.671663
-2728.110304,300,24.029225
-1544.116764,114,24.53087
-1440.088985,243,25.585021
9.947931,8,25.638107
-863.816146,124,26.18135
7.164313,32,26.327154
-3695.658405,300,27.579795
-1234.931486,83,27.945221
-4941.999734,287,29.170866
-70.817139,130,29.714023
-1280.023411,94,30.121267
-4549.805418,300,31.537686
-4014.387407,300,33.135016
-3470.359502,300,34.485706
-518.476452,145,35.1497
-438.14791,294,36.478599
-3443.85759,300,37.776948
-590.085776,115,38.285406
-705.28125,80,38.639774
-12.785369,62,38.942694
-1373.987968,117,39.456789
-3709.220058,300,40.771201
9.916041,12,40.84051
-188.149485,226,42.217134
-103.554972,162,43.225902
9.625628,30,43.421333
-2057.857897,220,44.732833
-4673.99691,300,46.247582
-502.493081,96,46.682733
-13.80689,76,47.034148
-5093.88534,300,48.449128
-10.783434,63,48.745754
-4788.230035,300,50.024531
-6192.947706,300,51.247907
-1208.80962,171,52.045429
-7509.595191,282,53.531775
-18.664406,85,53.909657
-523.192315,135,54.479258
-10652.414644,300,55.828383
-8.493913,97,56.457521
-2212.225967,142,57.373209
-3292.416909,300,59.170228
-8200.827265,300,60.472431
-2896.547439,225,61.472874
9.958068,11,61.552949
6.604911,32,61.71364
-275.364322,300,63.618279
-3.258278,51,63.870542
-9447.383576,261,64.926357
-5514.36186,300,66.208836
-12700.917736,300,67.37871
-3451.535979,300,68.579407
-1557.110094,193,69.361035
-592.959625,300,70.95999
-63.534221,99,71.624232
-1122.432041,92,72.138596
-9307.218653,300,73.744651
-13350.134051,300,75.002757
-1821.539483,62,75.292151
-773.56418,73,75.625383
-7259.989313,300,76.886844
-1673.92199,91,77.290595
-4872.095349,300,78.574636
-36.4378,72,78.894355
-410.333597,180,79.708837
0.739154,33,79.867332
0.159371,39,80.058082
-10108.362035,287,81.295923
-1893.00776,118,81.985174
-6146.23,300,83.683581
-10898.53,300,85.431016
-11983.33,300,86.623007
-5393.875309,300,87.930771
-5844.83,300,89.230422
8.655535,16,89.33831
-6.137529,42,89.522418
-10864.63,300,90.715922
-1317.459083,183,91.67589
-263.183778,164,92.348992
-8862.096564,300,93.59951
-1118.802479,115,94.188311
-4317.53,300,95.321302
-1384.623425,170,96.312885
-921.600479,300,98.1145
-11814.63,300,99.535023
-256.363683,169,100.32182
-1666.547514,189,101.412263
-2304.330232,300,102.703745
-654.13,300,103.841923
7.959962,16,103.938602
-669.03,300,105.061756
-5821.43,300,106.357986
-4563.83,300,107.670681
-9499.33,300,109.260917
-627.21526,300,111.165764
-385.23,300,112.510548
4.28662,29,112.647056
-5979.73,300,113.930061
-10269.03,300,115.147702
-5793.63,300,116.40521
-546.63,300,117.675372
-415.93,300,118.985982
-2751.724008,157,119.994642
-945.73,300,121.17708
-855.33,300,122.942209
-6343.53,300,124.502897
-14.60183,53,124.74899
-6277.73,300,125.991963
-946.03,300,127.190236
-1.852589,37,127.353438
-961.333953,300,128.517537
-890.279233,300,129.940697
-946.33,300,131.216956
-830.112187,300,132.472727
9.937538,5,132.515131
-948.63,300,133.812978
-6524.63,300,135.047938
-895.629319,300,136.857657
-917.23,300,138.433998
-3.470896,36,138.588114
-6170.844941,300,140.056
-848.63,300,141.319454
-138.896514,131,141.864882
-806.83,300,143.103261
9.933193,6,143.148677
-858.43,300,144.434663
-6746.63,300,145.718935
-869.73,300,146.920943
-6320.208225,300,148.524988
-6147.662119,300,149.800718
-519.83,300,151.071211
-592.23,300,152.370562
-468.23,300,153.617059
-447.33,300,154.959421
-606.63,300,156.263747
-776.13,300,158.00688
-850.03,300,159.798935
-6736.13,300,161.390612
-6495.93,300,162.600702
-826.43,300,163.876554
-806.33,300,165.118823
-851.73,300,166.356314
-944.194032,300,168.214519
-6222.23,300,169.459901
-956.129946,300,170.730409
-5901.13,300,172.297975
-980.53,300,174.024204
-1017.829896,300,175.312803
-1007.53,300,176.663582
-427.55228,55,176.918061
3.618463,36,177.086208
-12174.13,300,178.330369
-3975.4371,300,179.636626
-587.295354,57,179.890568
-1029.43,300,181.244622
-1064.63,300,182.389757
-6394.33,300,183.651931
-5959.93,300,185.085685
4.110282,23,185.265857
-207.866971,127,186.320893
9.937247,5,186.391116
-17.741468,49,186.713574
-5258.33,300,188.155413
-7000.629624,300,189.352656
-57.22399,74,189.673982
-4604.420871,300,190.913048
-3414.03,300,192.214484
-7296.53,300,193.478958
-9569.33,300,194.791494
-188.04413,120,195.578349
-1097.53,300,196.864241
-1094.660592,300,198.118404
-5901.640638,300,199.861173
-6677.878446,300,201.396034
-1100.432799,300,202.557363
-1090.348064,300,203.750438
-1091.546093,300,205.934766
-5691.606849,300,207.13842
-4005.728841,300,208.337873
-2309.233889,112,208.784352
-6046.371829,300,209.937545
-1070.03,300,211.234098
-272.480887,148,212.166935
-5245.93,300,213.93503
-777.001689,135,214.557572
-1090.411033,300,216.12599
-6955.63,300,217.446656
-3720.450907,170,218.18785
-4.810219,34,218.327865
-1102.416496,300,219.545852
-1090.53,300,220.775054
-1097.03,300,222.099588
-1099.254627,300,223.413128
-4250.03,300,228.924971
-2039.947706,100,229.337974
-1087.83,300,230.593901
-3958.13,300,231.850191
-291.691315,148,232.466763
-4754.84735,300,233.726501
-7009.83,300,234.93876
-1595.018246,156,235.624486
-1099.23,300,240.259119
-2723.224344,124,241.059255
-419.53737,174,242.112312
9.936705,5,242.167272
-80.654726,9,242.248037
-6985.594962,300,243.530654
-6487.23,300,244.755393
-188.479545,118,245.254317
-10574.13,300,246.454157
-315.84596,155,247.062576
9.937626,5,247.105645
-1090.207307,300,248.370489
-1094.03,300,253.177908
-1078.820339,300,254.793934
-9925.307141,300,256.483546
-4454.73,300,257.657375
-1091.13,300,258.801169
-10350.0295,300,260.071486
-4128.305148,300,261.359672
-1088.33,300,262.871719
-1095.23,300,264.128134
-1102.490598,300,265.419211
-1098.93,300,266.634647
-1092.100133,300,268.100245
-1095.740174,300,269.84762
-1097.333539,300,271.192148
-7022.73,300,273.717172
-1102.73,300,274.918028
-1102.73,300,276.139448
-1102.73,300,277.331562
-1102.73,300,278.534518
-1101.145143,300,279.944072
-1102.73,300,281.570729
-1102.73,300,286.665299
-1102.73,300,287.89016
-7022.73,300,289.024587
-1102.73,300,290.310228
-1102.73,300,291.535488
-1102.73,300,292.773548
-1102.73,300,297.410839
-7022.73,300,299.334619
-7021.23,300,300.679062
-7022.73,300,301.985922
-1102.73,300,303.305258
