#{"t_start": 1772479192.8492894, "env_id": "None"}
r,l,t
-343.75,250,3.143323
-342.75,250,4.323042
-343.17367,250,5.630142
-341.834068,250,6.786883
-343.85,250,8.60937
9.167705,20,8.718638
-344.05,250,9.816489
-344.6,250,10.979075
-344.647523,250,12.10309
-344.95,250,13.394698
-345.15,250,14.534798
10.301738,7,14.620792
-345.898851,250,15.934899
-345.7,250,17.05036
-345.482679,250,18.331188
-346.006002,250,19.518268
-345.110747,250,20.758305
-346.15,250,21.99262
-345.7,250,23.299879
-345.526447,250,24.51679
-345.676666,250,25.821186
-345.354838,250,26.242464
9.898198,15,26.340103
9.10781,21,26.456743
-343.149287,250,27.67747
-345.7,250,28.823307
-345.142019,250,30.018135
-344.94564,250,31.27953
-343.077614,250,32.524997
-344.45,250,33.671157
-343.800421,250,34.761064
-344.5,250,35.998874
-344.607936,250,37.357992
4.212293,39,37.55872
-344.158265,250,38.672488
-343.557896,250,39.884551
8.190556,23,40.027068
-143.8962,169,40.833492
-345.55,250,42.398134
-343.854578,250,43.957539
8.768903,21,44.126067
-344.25,250,45.487261
-344.85,250,46.773815
-267.208267,225,47.992727
9.616786,17,48.115812
-58.806225,115,48.688672
-130.612978,162,49.73477
-343.5,250,51.805791
-153.147374,174,52.761508
4.665003,37,52.971348
-342.725417,250,54.467094
-9.099097,64,54.804945
-341.938449,250,56.051239
-87.244015,136,56.981973
-342.122039,250,57.774794
-73.559339,127,58.813985
-58.083694,115,59.558982
-267.773037,231,61.971863
-339.929622,250,63.272847
-338.91694,250,64.638594
-339.228245,250,65.984333
-16.625782,74,66.710199
-337.41414,250,68.469064
-130.817606,164,69.397688
-169.114069,184,70.448795
-38.323189,99,70.959133
-65.079972,122,71.631415
-240.042706,216,73.292378
-339.401808,250,74.928617
-338.170841,250,76.597544
-339.275598,250,78.062034
-67.757447,123,78.745836
-338.564914,250,82.427727
-337.988142,250,84.054468
-76.924513,130,84.939721
-338.366888,250,86.290898
3.082204,42,86.547724
9.674137,18,86.666993
-6.855036,62,86.991858
-338.831956,250,90.191214
3.361582,41,90.502535
-181.987484,190,91.789667
-35.413162,96,92.420717
-337.845697,250,93.694095
-16.042743,75,94.081572
-15.590059,73,94.500641
-337.464098,250,98.260551
-98.631257,144,99.186909
-338.867776,250,101.007979
-73.022644,127,101.672387
-11.745353,69,102.040276
8.608944,23,102.192904
-337.817474,250,103.635555
-339.428774,250,107.563124
