#{"t_start": 1770680437.7919993, "env_id": "None"}
r,l,t
-4886.38,300,3.743241
-45.728439,300,6.468801
-46.38,300,8.894639
-7026.08,300,9.04754
-45.523471,300,10.650663
-5666.53,300,12.311991
-7130.469216,285,15.483293
2.464474,129,16.166445
-430.927087,75,16.590805
-11466.445004,300,18.332101
-4283.761364,300,19.703372
-7306.18,300,21.19625
4.160242,121,21.894334
-1234.899113,124,22.579419
-2053.302698,98,23.08283
-6771.071736,288,24.543916
2.678547,132,25.27843
-5839.380001,245,26.87371
-11.900583,215,28.118057
-45.024139,300,29.725233
5.51215,113,30.298282
-2005.613052,300,31.821541
-5525.23737,300,33.323875
-546.704891,300,34.84345
9.97526,41,35.099929
-404.925047,300,36.846779
-4167.401479,300,38.630408
-5365.81699,300,40.376648
-47.93,300,40.313495
-8742.696738,300,41.897789
-47.523442,300,43.214374
-48.567443,300,44.529923
-1487.693206,300,45.972455
-43.245422,300,47.706841
11.007167,30,47.947008
-3764.863085,300,49.784951
-1845.080905,300,51.288026
-44.228292,300,52.651946
-4244.812056,300,53.961492
-4964.31225,300,55.341279
-45.61456,300,56.916108
-269.851136,63,57.256563
-42.944609,300,58.551571
-2.915733,183,59.46993
-44.034822,300,61.242035
-43.554018,300,63.315237
-42.853532,300,64.824781
-43.115921,300,66.245125
-41.528868,300,67.914725
-42.810293,300,69.396796
-43.449026,300,70.901072
-40.181234,300,70.876856
-42.938284,300,72.405783
-41.877657,300,73.863459
-44.277237,300,75.232213
-41.679747,300,77.199451
-40.79353,300,78.890933
-41.461033,300,80.468527
-7060.807166,300,82.154788
-43.796323,300,83.707092
-43.71481,300,85.20613
-41.482372,300,86.784722
-4303.19956,300,88.676297
-42.441003,300,90.02753
-42.678013,300,91.343502
-44.200578,300,92.628633
-2743.149997,300,94.084076
-40.254593,300,95.471932
-42.518456,300,96.815061
-41.99177,300,98.424788
-40.3683,300,99.875429
-40.593116,300,101.363434
-41.988572,300,101.520582
-40.974874,300,102.960612
