#{"t_start": 1768937929.469079, "env_id": "None"}
r,l,t
21687.070514,2500,12.317482
21764.266658,2500,29.021124
-27939.097412,2500,40.318071
21777.207288,2500,50.405504
21815.840801,2500,60.752329
21826.322595,2500,70.826425
21819.839737,2500,81.666467
21821.677779,2500,92.770936
21826.088769,2500,109.142349
-15603.483906,2500,125.441343
-15602.666073,2500,136.16556
-15604.901211,2500,152.456443
21833.080529,2500,164.035026
21826.084134,2500,180.424726
21826.088769,2500,195.107905
21826.084134,2500,205.107309
-15607.376268,2500,217.359571
-15608.739399,2500,228.151627
-30661.433957,2500,239.536721
-2304.237204,123,239.996597
21826.421568,2500,250.467025
21786.084815,2500,260.204953
21803.316902,2500,273.507047
-15602.572871,2500,284.949579
21826.084134,2500,294.781655
-1975.987819,97,295.164319
-65528.361926,2500,305.42667
-15604.222535,2500,315.984403
-65523.605143,2500,327.47018
-2029.561084,99,327.925393
21816.786269,2500,339.14982
21826.084134,2500,349.51318
21760.070427,2500,363.180109
21797.804479,2500,373.032361
21809.71412,2500,385.352932
21836.626923,2500,402.195853
21815.816655,2500,413.169294
21832.006856,2500,426.532859
-65332.413108,2500,437.538433
21836.768772,2500,447.824765
-15606.774945,2500,460.257541
-417.63349,250,461.317989
21706.300766,2500,472.02706
21696.108652,2500,486.087032
-65523.288273,2500,497.648674
-13831.05875,2500,507.322767
21826.084134,2500,517.438095
-409.024931,311,518.503178
84.501539,11,518.567565
-713.812378,61,518.811899
21826.915911,2500,532.090873
21743.189193,2500,542.700783
-1733.615264,105,543.100178
21797.184726,2500,553.294749
-473.706313,110,553.677796
-64870.742634,2500,564.037893
107.892197,348,566.73759
21826.084134,2500,575.659966
20765.078911,2500,594.883548
-1125.808482,59,595.230315
21680.03404,2500,609.153299
-1117.265455,74,609.609792
21657.501559,2500,627.319885
21629.304979,2500,648.356958
21527.695095,2500,660.770818
11655.198319,2500,681.006906
250.240404,156,681.820494
-28717.894032,2500,695.337251
21827.61776,2500,707.847715
6050.991228,2500,722.690597
21696.305713,2500,734.870091
