#{"t_start": 1772065408.7854807, "env_id": "None"}
r,l,t
-576.007611,300,4.09439
-7400.956335,300,5.459098
-3217.3,300,6.878226
-501.697226,300,8.274346
2.767316,41,8.480531
-502.3,300,9.9022
1.61743,43,10.09576
-378.580944,76,10.424961
-4792.3,300,11.810053
-257.656337,220,14.57965
-502.277615,300,16.377617
-726.073711,300,17.818079
-2317.279902,131,18.408929
-502.3,300,18.354612
-989.980412,246,19.434373
-502.3,300,20.77052
-3082.3,300,22.142637
-4716.801743,300,23.895657
3.701333,37,24.092134
-1551.857903,106,24.731591
1.265576,46,25.068685
-3443.358977,266,26.898217
-30.116076,88,27.502405
-232.129292,210,28.663248
8.912776,21,28.803568
-3844.246571,273,30.110385
3.065908,41,30.32184
-8661.037873,300,31.84562
-4386.411171,300,33.284541
10.326918,8,33.34813
-0.083435,47,33.600916
-1404.737102,169,34.698442
-3896.845929,205,35.670316
-652.3,300,37.044262
-13.694935,69,37.383601
-11047.296934,300,39.234926
-3114.123007,276,41.026686
-2512.3,300,42.404677
-502.3,300,43.950609
-865.738515,192,45.113545
-2843.121089,267,46.44937
-48.420191,105,47.017868
-607.632605,60,47.323276
-3952.3,300,48.659666
-847.3,300,48.873188
-500.48297,300,50.471377
-502.3,300,52.459758
-1957.3,300,54.126155
-502.3,300,56.017869
-502.3,300,57.50579
-4717.3,300,58.918802
-4897.288513,300,60.276012
8.44977,25,60.429051
-255.955851,221,61.535153
-10522.290945,300,62.833927
-698.633387,122,63.44035
-188.587872,190,64.656167
-3696.236654,300,66.784474
-4792.3,300,68.137443
10.132635,9,68.202427
-7786.525491,300,69.652267
-3067.3,300,71.181963
9.488962,19,71.298686
-2585.289534,300,72.667181
-502.3,300,73.985842
-502.298782,300,75.402447
-502.3,300,77.492167
-6680.681367,300,79.589077
-74.0257,125,80.295144
-501.452149,300,80.529638
-502.3,300,82.221753
-4867.3,300,83.879893
-155.585311,174,84.786623
-4717.275399,300,86.629165
-502.29065,300,88.259199
4.390143,36,88.523805
-502.3,300,90.256338
-502.3,300,92.659391
-4747.3,300,94.740495
-502.3,300,97.374769
-185.883067,18,97.548709
-501.642502,300,99.664343
-502.3,300,102.07474
-1249.520871,87,102.594508
-4057.3,300,104.973399
-5422.3,300,107.737296
-4717.283043,300,110.329595
-2060.944092,300,111.721845
-2085.093712,146,112.575344
-731.672517,192,113.722283
-562.3,300,116.520458
-502.3,300,118.167612
-502.3,300,119.707113
-502.3,300,121.26536
-498.355104,300,122.800665
-502.3,300,124.841725
-502.3,300,126.363964
-229.048536,75,126.800794
-4462.3,300,129.830668
-501.391201,300,131.886724
-8602.3,300,133.592438
-8242.3,300,135.149669
-502.3,300,136.760218
-4132.3,300,138.77576
-502.3,300,140.772797
-502.29786,300,144.32785
-502.3,300,146.050891
10.050408,13,146.277853
-4372.3,300,148.280369
-502.3,300,150.073642
-501.440382,300,151.699553
-4207.3,300,153.784953
4.753932,35,154.088802
-4612.3,300,157.001586
-501.878158,300,158.773023
-3082.3,300,160.355896
7.986164,25,160.514147
-502.3,300,162.00308
-17.872882,74,162.379332
-4822.299689,300,163.849333
5.783771,32,164.017543
-4852.3,300,165.571819
-502.3,300,167.105359
-502.3,300,169.500494
-497.800959,300,171.669178
8.486457,21,171.830205
-502.3,300,171.957889
-4777.3,300,173.463891
-502.3,300,175.003166
-502.3,300,176.643732
-502.3,300,178.14492
-502.3,300,180.165323
-502.3,300,181.877877
-501.895679,300,183.832932
-498.880523,300,185.612388
-502.172038,300,187.143218
7.770647,25,187.305152
-502.017766,300,188.799576
-3935.315753,300,190.692583
-502.3,300,192.389921
-502.3,300,194.005486
-502.299731,300,195.549321
-499.151198,300,197.445411
-502.3,300,199.388031
-495.146214,300,201.122467
-498.219087,300,204.054283
-502.3,300,204.496618
-501.962547,300,206.797187
-502.3,300,208.580194
-502.3,300,210.169495
-502.3,300,211.880389
-502.3,300,213.866514
-502.3,300,216.719325
-501.80498,300,218.167101
-502.121206,300,219.784928
-502.299731,300,221.67487
-502.3,300,223.628137
-502.3,300,225.13976
-502.3,300,226.860972
-501.505912,300,229.075603
-501.748453,300,230.810151
-501.17652,300,232.287743
-846.120036,300,233.76369
-501.856694,300,234.126
-500.774939,300,236.217191
-501.669289,300,237.923497
-3905.271226,300,239.672274
-5660.175933,300,241.592843
-3065.714779,300,243.660016
-2810.457339,300,245.20631
-500.962597,300,246.704266
-500.456114,300,248.239706
-500.851247,300,250.231079
-205.658278,198,251.820722
-501.515261,300,253.403853
-501.641157,300,254.961007
-501.599206,300,257.024165
-500.96663,300,259.019215
-500.566822,300,260.461695
-501.691774,300,261.942662
-502.3,300,263.710346
-502.078829,300,265.276943
-502.3,300,265.41503
-502.3,300,266.996043
-501.627349,300,269.156002
-501.695488,300,271.33244
-502.056446,300,273.618433
-502.3,300,275.298875
-502.3,300,276.917358
-502.086407,300,278.52293
-502.3,300,280.054258
-1057.3,300,281.677284
-501.995262,300,283.308677
-502.065985,300,290.592967
-502.3,300,292.111849
-502.3,300,293.781212
-502.3,300,295.340968
-502.3,300,295.383868
-502.3,300,296.901221
-502.3,300,298.367808
-501.455489,300,305.099027
-501.528666,300,306.823335
-502.3,300,308.662639
-501.934595,300,310.313602
-501.946271,300,311.908516
-502.3,300,313.407467
-502.3,300,315.036733
-502.3,300,321.935991
-502.3,300,323.472649
-502.3,300,324.951203
-502.3,300,326.442113
-502.07216,300,326.448554
-502.3,300,327.854278
-502.184836,300,329.811092
-501.558589,300,333.21557
-502.3,300,334.698124
-502.069839,300,336.236484
-502.3,300,337.800325
-4942.3,300,339.492752
-502.029537,300,340.977105
-502.074208,300,342.52521
-501.109093,300,344.920463
-501.890365,300,346.957419
-501.451201,300,348.594544
-501.78763,300,350.218247
-500.752454,300,351.671155
-501.584636,300,353.144708
-2016.328312,300,355.799241
-2991.155625,300,357.426795
-500.557557,300,358.398875
-500.819766,300,360.417665
-4236.181506,300,362.196984
-500.997779,300,364.684996
-19.772873,76,365.230728
-501.04314,300,367.161701
-161.055422,177,368.628124
-499.968075,300,370.58864
10.143243,7,370.658716
-500.670418,300,372.46291
-500.292122,300,374.901111
-500.91789,300,377.489242
-4880.503847,300,379.644128
-2435.561343,300,381.277708
-500.271363,300,383.026385
-500.175056,300,384.588533
-4910.267639,300,386.166677
-500.234377,300,387.747785
-500.473421,300,388.207464
-500.411642,300,390.525738
-500.237385,300,392.839872
-500.361316,300,395.451637
-5.319535,56,395.773793
-500.112125,300,397.335064
-2930.585989,300,398.890168
-500.213594,300,400.432902
-168.527188,181,401.341938
-500.610076,300,402.875773
-1235.578283,300,405.029876
-3695.540125,300,408.408753
-500.838372,300,410.44046
-500.932006,300,412.049407
-3335.566321,300,413.579012
-222.157697,206,414.604225
-16.348949,72,415.018082
8.926578,19,415.142409
-159.111422,176,416.094901
-500.804661,300,417.593532
-9.933874,63,417.948343
-638.411202,121,418.596991
-236.109753,65,418.956722
-2196.506403,300,419.782586
-501.405097,300,422.324966
-83.808427,132,423.223918
-4401.529835,300,425.189874
-500.961203,300,426.761283
-501.854139,300,428.209825
-501.182367,300,429.918669
-501.520377,300,431.978175
-501.902231,300,433.728431
-546.510083,300,435.434609
-501.238865,300,437.092074
-501.984554,300,439.087084
9.157288,18,439.228514
3.296779,38,439.493623
-245.638361,119,440.371664
-502.034782,300,441.793901
-501.777268,300,443.606786
-500.40763,300,445.14754
-501.562578,300,446.782406
-502.3,300,448.804
-502.3,300,450.334887
-502.3,300,450.565265
-502.002758,300,452.611411
-501.851937,300,458.487127
-502.3,300,460.019289
-502.3,300,462.056173
-502.3,300,463.737055
-4822.044787,300,465.286998
-501.918159,300,466.94839
-501.772798,300,469.019945
-502.123125,300,474.965497
-502.133896,300,476.546053
-203.787325,197,477.615717
-2662.045161,300,479.16748
-6742.077247,300,480.735103
-502.3,300,480.911464
-502.3,300,482.981896
-1686.899366,300,489.429
-228.86938,208,490.853275
8.356183,22,491.022063
-502.299731,300,492.487587
-502.097094,300,494.05631
-502.3,300,495.594309
-501.954571,300,497.353106
-501.8579,300,499.540199
-501.771158,300,503.070014
-502.3,300,505.079806
-501.669478,300,507.124996
-502.3,300,508.63324
-502.06768,300,510.152643
-501.991652,300,511.667082
-9.407526,62,512.004519
-501.835004,300,512.452396
-501.909188,300,518.596838
-502.013829,300,520.651709
-502.3,300,522.580192
-502.3,300,524.05884
-4762.3,300,525.639618
-502.268353,300,527.194927
-502.3,300,530.669929
-502.299731,300,532.57944
-502.014768,300,534.104926
-501.828098,300,536.051901
-502.299731,300,538.044845
-502.3,300,539.621742
-502.090093,300,541.2116
-6351.783215,300,545.598787
-502.3,300,547.106926
-502.3,300,548.581269
-501.637538,300,550.56469
-502.110132,300,552.536233
-502.3,300,554.096586
-502.3,300,555.869902
-502.199104,300,558.87555
-501.9487,300,560.761256
-1146.983264,300,562.281
-501.698302,300,563.773941
-4867.3,300,565.332134
-501.823273,300,567.437001
-501.98783,300,569.282751
-576.565135,300,574.023971
-501.873706,300,574.613581
-502.071293,300,576.138512
-502.028631,300,577.627368
-502.3,300,579.074262
-4927.3,300,580.866525
-4687.3,300,582.863544
-502.3,300,585.199726
-4822.3,300,586.841557
-502.3,300,588.908947
-502.3,300,590.842022
8.865697,20,590.968297
-502.3,300,592.53355
-502.3,300,594.135217
-501.969451,300,595.673908
-937.3,300,599.288127
-501.733366,300,601.125268
-502.141615,300,602.779423
-502.3,300,604.905729
-9052.3,300,605.316038
-502.3,300,606.856392
