#{"t_start": 1772035747.263297, "env_id": "None"}
r,l,t
9.970863,13,2.698131
-347.2,250,4.578891
-347.2,250,6.355604
-347.2,250,8.254757
-200.620429,202,9.915462
-230.462317,209,11.704271
-346.518894,250,14.027106
-344.390829,250,16.10668
-347.2,250,15.99396
10.209386,6,16.060084
-346.725921,250,23.574184
-345.898377,250,25.376899
8.209187,26,25.565913
-347.2,250,27.348428
-347.2,250,29.320909
-7.430468,61,29.846114
-347.2,250,32.256375
-347.2,250,35.389005
-346.589652,250,37.432337
-347.2,250,39.174287
-95.097948,140,41.668211
-32.199785,91,42.400235
-346.098698,250,44.265121
-35.097007,94,44.882212
-347.153298,250,46.499665
10.184325,7,46.577538
-108.656198,148,45.276069
-346.873009,250,47.078146
-187.378189,190,48.546989
-208.886531,200,51.076303
-347.17946,250,54.701666
-347.132514,250,56.936574
-345.988801,250,59.379173
-346.198972,250,61.123209
2.852268,40,61.439049
-346.244457,250,63.290201
-345.630603,250,64.970033
-346.922229,250,66.695092
-345.35748,250,68.536574
-345.791107,250,70.322367
-63.834146,118,71.623358
-345.517721,250,74.905964
-341.376837,250,77.177332
-11.322131,66,77.727828
-345.552169,250,79.567218
-343.724877,250,81.271082
-340.952732,250,82.920108
-150.863405,172,84.142602
-344.967465,250,85.846229
-345.506749,250,87.516579
-216.29145,204,88.860251
-346.095416,250,91.585027
-292.27661,234,94.59669
-346.598294,250,97.554661
-346.774683,250,99.685146
-346.112857,250,101.336328
-344.115064,250,103.107725
-8.324807,61,103.572565
-0.510793,49,103.912943
-8.090138,62,104.345988
-3.609508,56,104.761804
-78.2079,130,105.695593
-345.141224,250,107.045052
-5.721668,57,107.524402
-344.639393,250,109.560466
-345.530283,250,111.335219
-343.519903,250,114.043654
-342.910269,250,116.820538
-346.225998,250,118.900562
-346.915106,250,120.713458
-346.101833,250,122.512351
-345.669712,250,124.964413
-346.246104,250,126.79925
-345.269526,250,128.640754
-134.892185,163,130.02715
-344.96028,250,131.771275
-346.015335,250,133.737327
-345.804029,250,136.495984
-345.706323,250,136.975125
-197.368623,195,138.441321
-345.166783,250,143.07717
-344.650088,250,144.96472
-345.415645,250,146.915154
-345.108862,250,149.115347
-345.174658,250,151.233443
-344.113308,250,152.973839
